Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.258161,0.266919,0.254546,0.263372,0.263372,611914
2021-08-23,0.263315,0.273716,0.263071,0.268923,0.268923,808894
2021-08-24,0.268984,0.270794,0.247815,0.250213,0.250213,937964
2021-08-25,0.249952,0.256025,0.244254,0.253834,0.253834,1033400
2021-08-26,0.253829,0.256829,0.240394,0.242361,0.242361,1065276
2021-08-27,0.242368,0.268489,0.240002,0.267523,0.267523,559482
2021-08-28,0.267757,0.270516,0.161292,0.172525,0.172525,9882
2021-08-29,0.172501,0.266272,0.164982,0.255946,0.255946,59520
2021-08-30,0.255972,0.275247,0.124796,0.265083,0.265083,172885
2021-08-31,0.265209,0.270657,0.231892,0.235111,0.235111,26706
2021-09-01,0.238298,0.287440,0.208695,0.286010,0.286010,131533
2021-09-02,0.286317,0.302055,0.285245,0.294382,0.294382,450561
2021-09-03,0.294308,0.299811,0.278307,0.284328,0.284328,62268
2021-09-04,0.284246,0.291713,0.263747,0.269724,0.269724,53136
2021-09-05,0.269725,0.301481,0.262786,0.297727,0.297727,69357
2021-09-06,0.297757,0.338769,0.293426,0.331479,0.331479,167075
2021-09-07,0.331385,0.337931,0.258211,0.274151,0.274151,314552
2021-09-08,0.274098,0.286675,0.261812,0.277793,0.277793,671731
2021-09-09,0.274360,0.288732,0.273733,0.277333,0.277333,295122
2021-09-10,0.277417,0.289880,0.260219,0.263615,0.263615,341309
2021-09-11,0.263688,0.276229,0.263688,0.269737,0.269737,332398
2021-09-12,0.269845,0.284927,0.266126,0.283327,0.283327,384616
2021-09-13,0.283102,0.283825,0.256609,0.270355,0.270355,143105
2021-09-14,0.270340,0.290801,0.266618,0.290801,0.290801,266282
2021-09-15,0.290916,0.309574,0.287973,0.305398,0.305398,155259
2021-09-16,0.305411,0.315179,0.292006,0.306143,0.306143,83998
2021-09-17,0.306179,0.320058,0.261174,0.275639,0.275639,81153
2021-09-18,0.275869,0.304334,0.270602,0.280795,0.280795,66659
2021-09-19,0.280974,0.303224,0.262793,0.275468,0.275468,45425
2021-09-20,0.275401,0.282828,0.249294,0.253349,0.253349,154074
2021-09-21,0.253144,0.263780,0.234352,0.236731,0.236731,237488
2021-09-22,0.236640,0.264347,0.235266,0.260688,0.260688,235036
2021-09-23,0.260602,0.270890,0.255661,0.264263,0.264263,107089
2021-09-24,0.264240,0.269125,0.195019,0.228901,0.228901,158737
2021-09-25,0.228893,0.235577,0.223221,0.233079,0.233079,236343
2021-09-26,0.233078,0.237942,0.218050,0.231945,0.231945,280135
2021-09-27,0.231801,0.240224,0.208696,0.209040,0.209040,203015
