Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.009866,0.010759,0.009830,0.010032,0.010032,860267
2021-08-23,0.010033,0.010556,0.009594,0.009729,0.009729,1014999
2021-08-24,0.009696,0.009889,0.008823,0.009375,0.009375,1267997
2021-08-25,0.009382,0.009464,0.008574,0.008982,0.008982,1157024
2021-08-26,0.008980,0.009491,0.008304,0.008828,0.008828,1085369
2021-08-27,0.008831,0.009395,0.008368,0.009330,0.009330,1067741
2021-08-28,0.009334,0.009445,0.008701,0.008715,0.008715,633271
2021-08-29,0.008742,0.009513,0.008530,0.009001,0.009001,385448
2021-08-30,0.008999,0.009164,0.008269,0.008273,0.008273,520158
2021-08-31,0.008269,0.008537,0.007963,0.008106,0.008106,488792
2021-09-01,0.008105,0.008251,0.007565,0.007942,0.007942,746043
2021-09-02,0.007949,0.008576,0.007251,0.008490,0.008490,1094463
2021-09-03,0.008488,0.009573,0.008333,0.009252,0.009252,1026600
2021-09-04,0.009277,0.010152,0.009224,0.009919,0.009919,534530
2021-09-05,0.009918,0.011567,0.009819,0.011539,0.011539,434154
2021-09-06,0.011563,0.011590,0.007533,0.009070,0.009070,2005521
2021-09-07,0.009073,0.009197,0.006984,0.007802,0.007802,1412091
2021-09-08,0.007805,0.008850,0.006882,0.007940,0.007940,550171
2021-09-09,0.008203,0.009044,0.007763,0.008699,0.008699,799730
2021-09-10,0.008698,0.008936,0.008088,0.008130,0.008130,636042
2021-09-11,0.008132,0.008782,0.008099,0.008591,0.008591,406184
2021-09-12,0.008594,0.009708,0.008437,0.009634,0.009634,557862
2021-09-13,0.009634,0.009640,0.008118,0.008210,0.008210,508207
2021-09-14,0.008209,0.008576,0.008070,0.008542,0.008542,316622
2021-09-15,0.008536,0.008835,0.008454,0.008635,0.008635,238812
2021-09-16,0.008637,0.009103,0.008135,0.008377,0.008377,303011
2021-09-17,0.008381,0.010103,0.008322,0.009173,0.009173,1077362
2021-09-18,0.009169,0.009941,0.008867,0.009215,0.009215,1065742
2021-09-19,0.009216,0.009235,0.008496,0.008659,0.008659,518464
2021-09-20,0.008668,0.008708,0.006966,0.007197,0.007197,740619
2021-09-21,0.007189,0.009311,0.006677,0.007669,0.007669,1343238
2021-09-22,0.007667,0.008799,0.007577,0.008691,0.008691,1365220
2021-09-23,0.008689,0.008852,0.008330,0.008448,0.008448,859662
2021-09-24,0.008445,0.008563,0.007639,0.008065,0.008065,572060
2021-09-25,0.008072,0.010012,0.008037,0.009999,0.009999,1105659
2021-09-26,0.010004,0.010501,0.009227,0.009388,0.009388,1446589
2021-09-27,0.009392,0.011124,0.009285,0.010551,0.010551,1314666
2021-09-28,0.010553,0.011078,0.009698,0.009844,0.009844,1551610
2021-09-29,0.009836,0.010243,0.009319,0.009860,0.009860,1446271
2021-09-30,0.009855,0.010950,0.008554,0.009344,0.009344,3432109
2021-10-01,0.009346,0.009702,0.008406,0.008641,0.008641,3462528
2021-10-02,0.008643,0.009602,0.008526,0.009163,0.009163,775588
2021-10-03,0.009168,0.009218,0.008546,0.008616,0.008616,456949
2021-10-04,0.008614,0.008788,0.008274,0.008551,0.008551,551445
2021-10-05,0.008553,0.008784,0.008251,0.008674,0.008674,879084
2021-10-06,0.008673,0.008676,0.007607,0.007728,0.007728,1036922
2021-10-07,0.007732,0.008233,0.007510,0.007819,0.007819,1510539
2021-10-08,0.007820,0.007865,0.007539,0.007634,0.007634,1261173
2021-10-09,0.007635,0.007904,0.007426,0.007584,0.007584,372481
2021-10-10,0.007585,0.007585,0.006849,0.007159,0.007159,414108
2021-10-11,0.007151,0.007486,0.006643,0.006982,0.006982,510885
2021-10-12,0.006975,0.007230,0.006439,0.007081,0.007081,412809
2021-10-13,0.007090,0.007611,0.007090,0.007217,0.007217,900003
2021-10-14,0.007221,0.007268,0.006931,0.007032,0.007032,1065727
2021-10-15,0.007033,0.007033,0.006275,0.006755,0.006755,1729911
2021-10-16,0.006752,0.007173,0.006710,0.006947,0.006947,1454435
2021-10-17,0.006939,0.006944,0.006603,0.006822,0.006822,323939
2021-10-18,0.006821,0.006916,0.006091,0.006130,0.006130,547653
2021-10-19,0.006133,0.006320,0.005684,0.005857,0.005857,760797
2021-10-20,0.005859,0.006282,0.005666,0.006143,0.006143,680264
2021-10-21,0.006148,0.006182,0.005568,0.005641,0.005641,662169
2021-10-22,0.005634,0.005882,0.005599,0.005829,0.005829,1636570
2021-10-23,0.005827,0.006410,0.005428,0.005635,0.005635,1865581
2021-10-24,0.005632,0.005848,0.005594,0.005759,0.005759,699371
2021-10-25,0.005761,0.005861,0.005268,0.005446,0.005446,797207
2021-10-26,0.005446,0.005446,0.004971,0.005033,0.005033,1118061
2021-10-27,0.005029,0.005263,0.004786,0.004817,0.004817,657031
2021-10-28,0.004814,0.005507,0.004760,0.005411,0.005411,1152391
2021-10-29,0.005410,0.006137,0.005378,0.006111,0.006111,2953920
2021-10-30,0.006110,0.006685,0.006045,0.006685,0.006685,2221979
2021-10-31,0.006685,0.006969,0.006369,0.006673,0.006673,551756
2021-11-01,0.006672,0.007019,0.006424,0.006765,0.006765,518577
2021-11-02,0.006767,0.007070,0.006624,0.006813,0.006813,592389
