Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.006323,0.007381,0.004900,0.006034,0.006034,0
2021-08-23,0.006029,0.007717,0.004946,0.006605,0.006605,0
2021-08-24,0.006605,0.007591,0.004246,0.006226,0.006226,0
2021-08-25,0.006218,0.007532,0.004775,0.006612,0.006612,0
2021-08-26,0.006611,0.007410,0.004658,0.006820,0.006820,0
2021-08-27,0.006821,0.007557,0.004896,0.006728,0.006728,0
2021-08-28,0.006737,0.007631,0.000971,0.000978,0.000978,0
2021-08-29,0.000978,0.000993,0.000959,0.000977,0.000977,0
2021-08-30,0.000977,0.008046,0.000950,0.006031,0.006031,0
2021-08-31,0.006030,0.007815,0.005284,0.006529,0.006529,0
2021-09-01,0.006347,0.008338,0.004917,0.006830,0.006830,0
2021-09-02,0.006826,0.008958,0.005622,0.007282,0.007282,0
2021-09-03,0.007279,0.009420,0.005861,0.007876,0.007876,0
2021-09-04,0.007881,0.008950,0.005943,0.007344,0.007344,0
2021-09-05,0.007348,0.009316,0.006104,0.008540,0.008540,0
2021-09-06,0.008537,0.008862,0.006048,0.007389,0.007389,0
2021-09-07,0.007385,0.009079,0.005490,0.006752,0.006752,0
2021-09-08,0.006750,0.008039,0.005187,0.006605,0.006605,0
2021-09-09,0.006181,0.007928,0.005516,0.005967,0.005967,0
2021-09-10,0.005964,0.007927,0.004804,0.006065,0.006065,0
2021-09-11,0.006070,0.007624,0.005214,0.006733,0.006733,0
2021-09-12,0.006737,0.007683,0.000170,0.001840,0.001840,0
2021-09-13,0.001838,0.006314,0.001780,0.005659,0.005659,0
2021-09-14,0.005659,0.007642,0.005645,0.007593,0.007593,0
2021-09-15,0.007598,0.008046,0.003309,0.003372,0.003372,0
2021-09-16,0.003372,0.003374,0.002354,0.002389,0.002389,0
2021-09-17,0.002389,0.007885,0.002374,0.005942,0.005942,0
2021-09-18,0.005947,0.008577,0.005359,0.006379,0.006379,0
2021-09-19,0.006384,0.007857,0.004902,0.005728,0.005728,0
2021-09-20,0.005727,0.007575,0.004568,0.005600,0.005600,0
2021-09-21,0.005592,0.006910,0.004090,0.004487,0.004487,0
2021-09-22,0.004506,0.006601,0.004415,0.005720,0.005720,0
2021-09-23,0.005725,0.007259,0.004548,0.005746,0.005746,0
2021-09-24,0.005743,0.007146,0.004345,0.005776,0.005776,0
2021-09-25,0.005775,0.006747,0.004409,0.005709,0.005709,0
2021-09-26,0.005705,0.006755,0.004288,0.005945,0.005945,0
2021-09-27,0.005941,0.006961,0.004497,0.005367,0.005367,0
2021-09-28,0.005369,0.006802,0.004341,0.006221,0.006221,0
2021-09-29,0.006232,0.006633,0.002648,0.002707,0.002707,0
2021-09-30,0.002710,0.006968,0.002698,0.005074,0.005074,0
2021-10-01,0.005073,0.007052,0.004381,0.005825,0.005825,0
2021-10-02,0.005821,0.007381,0.004846,0.005327,0.005327,0
2021-10-03,0.005325,0.008080,0.004476,0.006355,0.006355,0
2021-10-04,0.006358,0.007985,0.004666,0.005477,0.005477,0
2021-10-05,0.005476,0.007728,0.002567,0.002575,0.002575,0
2021-10-06,0.002576,0.006612,0.002524,0.006488,0.006488,0
2021-10-07,0.006481,0.007939,0.004985,0.006925,0.006925,0
2021-10-08,0.006925,0.008316,0.004962,0.007267,0.007267,0
2021-10-09,0.007270,0.008328,0.005497,0.006580,0.006580,0
2021-10-10,0.006579,0.008075,0.004854,0.006139,0.006139,0
2021-10-11,0.006132,0.008038,0.005083,0.006731,0.006731,0
2021-10-12,0.006736,0.007924,0.005078,0.005835,0.005835,0
2021-10-13,0.005833,0.008019,0.005138,0.006200,0.006200,0
2021-10-14,0.006203,0.008440,0.005210,0.007916,0.007916,0
2021-10-15,0.007913,0.008662,0.005346,0.007342,0.007342,0
2021-10-16,0.007339,0.009035,0.005434,0.006170,0.006170,0
2021-10-17,0.006167,0.008625,0.004879,0.008620,0.008620,0
2021-10-18,0.008618,0.008618,0.004913,0.007198,0.007198,0
2021-10-19,0.007198,0.008552,0.005406,0.005777,0.005777,0
2021-10-20,0.005778,0.009293,0.005743,0.007306,0.007306,0
2021-10-21,0.007315,0.010137,0.005804,0.005804,0.005804,0
2021-10-22,0.005798,0.009476,0.005798,0.007186,0.007186,0
2021-10-23,0.007186,0.009621,0.004405,0.005421,0.005421,0
2021-10-24,0.005423,0.007076,0.004352,0.005969,0.005969,0
2021-10-25,0.005968,0.007173,0.004133,0.005059,0.005059,0
2021-10-26,0.005061,0.007250,0.003901,0.003925,0.003925,0
2021-10-27,0.003925,0.006804,0.003916,0.005390,0.005390,0
2021-10-28,0.005384,0.006993,0.004434,0.005187,0.005187,0
2021-10-29,0.005188,0.007842,0.004612,0.006533,0.006533,0
2021-10-30,0.006534,0.007462,0.004581,0.005703,0.005703,0
2021-10-31,0.005710,0.007004,0.004594,0.005959,0.005959,0
2021-11-01,0.005960,0.007103,0.004661,0.006228,0.006228,0
2021-11-02,0.006227,0.007367,0.004740,0.005322,0.005322,0
2021-11-03,0.005318,0.008030,0.004654,0.006447,0.006447,0
2021-11-04,0.006450,0.007618,0.004288,0.006400,0.006400,0
2021-11-05,0.006398,0.007595,0.004427,0.006862,0.006862,0
2021-11-06,0.006864,0.007404,0.004529,0.006376,0.006376,0
2021-11-07,0.006375,0.008145,0.005047,0.006052,0.006052,0
2021-11-08,0.006053,0.008205,0.003127,0.004188,0.004188,0
2021-11-09,0.004187,0.005365,0.003511,0.004642,0.004642,0
