Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,268.559387,277.059326,259.599579,265.873993,265.873993,1529868
2021-08-23,265.777435,331.925995,265.283966,320.257111,320.257111,4245958
2021-08-24,320.294952,332.913330,299.369202,300.286377,300.286377,3159433
2021-08-25,300.143524,304.155365,284.953247,299.044861,299.044861,1946867
2021-08-26,299.119934,302.498169,283.709503,286.496643,286.496643,1784213
2021-08-27,286.669983,298.308502,283.191803,296.427216,296.427216,1264392
2021-08-28,296.835480,306.471191,293.171112,296.602814,296.602814,258349
2021-08-29,296.719208,301.564026,292.229309,299.934723,299.934723,793318
2021-08-30,299.659180,299.659180,265.989136,266.009583,266.009583,2668136
2021-08-31,265.870911,280.725586,263.900787,272.733337,272.733337,220531
2021-09-01,272.714447,329.981934,263.983429,329.981934,329.981934,2146933
2021-09-02,330.572510,336.646576,318.169342,334.111786,334.111786,1031946
2021-09-03,334.189636,347.053406,329.077362,331.728271,331.728271,300124
2021-09-04,331.679108,333.375031,309.009583,318.225159,318.225159,172904
2021-09-05,318.172150,320.965271,309.131470,319.358917,319.358917,422697
2021-09-06,319.376587,320.970764,303.421783,308.012634,308.012634,628294
2021-09-07,308.043060,308.461212,263.513855,268.743500,268.743500,432484
2021-09-08,268.886322,272.896820,249.756363,258.880676,258.880676,488225
2021-09-09,257.692169,266.706512,247.277435,247.822067,247.822067,573087
2021-09-10,247.814667,251.009521,240.001373,242.000153,242.000153,184627
2021-09-11,242.019073,243.421753,231.090866,235.324051,235.324051,199283
2021-09-12,235.282288,242.819092,234.536774,237.196304,237.196304,172344
2021-09-13,237.193558,238.692093,224.942825,234.438171,234.438171,288359
2021-09-14,234.431747,252.437210,233.396591,252.324463,252.324463,715374
2021-09-15,252.380692,261.167725,249.784698,260.743988,260.743988,397812
2021-09-16,260.795013,263.623993,251.421127,253.958755,253.958755,389817
2021-09-17,253.835175,259.981323,224.089493,229.134598,229.134598,1270810
2021-09-18,229.271286,238.115967,226.699203,233.683075,233.683075,356354
2021-09-19,233.755508,236.366058,221.249619,223.200333,223.200333,229398
2021-09-20,223.218109,223.380295,197.172470,198.292908,198.292908,144457
2021-09-21,198.223068,205.089584,188.392792,188.956421,188.956421,328737
2021-09-22,188.933350,205.891754,187.965347,205.550568,205.550568,383885
2021-09-23,205.632538,218.623535,203.720154,218.218521,218.218521,428440
2021-09-24,218.236923,247.575897,216.059982,244.195221,244.195221,2702886
2021-09-25,244.269547,249.536880,240.255798,245.810181,245.810181,435170
2021-09-26,245.773727,251.673447,228.907104,247.907074,247.907074,592907
2021-09-27,247.791519,255.345276,231.929260,231.929260,231.929260,661362
2021-09-28,231.944443,234.573624,222.309692,222.732986,222.732986,179268
2021-09-29,222.615372,226.989792,217.247055,219.519760,219.519760,255184
2021-09-30,219.370468,250.166458,219.039734,247.725113,247.725113,803177
2021-10-01,247.727341,288.949982,247.219879,286.742157,286.742157,1048772
2021-10-02,286.762878,292.685547,280.614349,286.610413,286.610413,241673
2021-10-03,286.403259,294.615753,281.401642,290.796875,290.796875,276131
2021-10-04,290.852692,292.356384,265.549286,273.531494,273.531494,1209346
2021-10-05,273.588165,273.617554,253.858231,271.105865,271.105865,1822074
2021-10-06,270.677795,274.093384,254.531799,270.216431,270.216431,438786
2021-10-07,270.344330,300.563995,269.406250,298.234497,298.234497,3266439
2021-10-08,297.885254,302.630066,286.343109,295.095459,295.095459,375543
2021-10-09,295.046631,305.436035,293.832611,298.632294,298.632294,800005
2021-10-10,298.344360,298.512360,275.102051,275.262482,275.262482,538398
2021-10-11,275.064026,297.413666,273.657990,289.778839,289.778839,735843
2021-10-12,289.616425,289.800446,266.321991,279.302368,279.302368,854774
2021-10-13,279.399475,290.593689,273.446198,289.948608,289.948608,732850
2021-10-14,290.105896,314.726074,290.105896,314.430634,314.430634,986909
2021-10-15,314.083771,365.908234,313.397980,365.908234,365.908234,2243405
2021-10-16,366.388428,474.871613,356.926056,474.871613,474.871613,6139187
2021-10-17,474.859650,521.165833,443.516388,456.337585,456.337585,3938481
2021-10-18,456.742676,476.071686,454.431244,473.288696,473.288696,2437907
2021-10-19,473.320465,499.360413,416.655945,418.892181,418.892181,3914990
2021-10-20,417.010620,462.153992,414.747528,461.629456,461.629456,2156737
2021-10-21,460.871490,475.552277,427.619232,428.713684,428.713684,864381
2021-10-22,428.321259,435.954224,394.151306,395.624084,395.624084,1282829
2021-10-23,395.881622,416.567139,375.708374,383.554108,383.554108,1804035
