Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.015203,0.015655,0.015176,0.015365,0.015365,34838
2021-08-23,0.015366,0.015713,0.015211,0.015280,0.015280,62686
2021-08-24,0.015281,0.015712,0.015062,0.015432,0.015432,35012
2021-08-25,0.015424,0.015543,0.015150,0.015170,0.015170,40424
2021-08-26,0.015173,0.015475,0.015128,0.015361,0.015361,36345
2021-08-27,0.015360,0.015394,0.012344,0.013379,0.013379,26004
2021-08-28,0.013378,0.013414,0.003505,0.011791,0.011791,37794
2021-08-29,0.011794,0.012711,0.010347,0.010854,0.010854,39153
2021-08-30,0.010854,0.010963,0.010515,0.010534,0.010534,44109
2021-08-31,0.010534,0.011076,0.010380,0.010748,0.010748,38802
2021-09-01,0.010747,0.010922,0.007252,0.009015,0.009015,29172
2021-09-02,0.009018,0.010929,0.008600,0.010929,0.010929,26100
2021-09-03,0.010927,0.014161,0.010376,0.013255,0.013255,37928
2021-09-04,0.013255,0.013765,0.013252,0.013721,0.013721,30844
2021-09-05,0.013720,0.013861,0.013656,0.013795,0.013795,38035
2021-09-06,0.013795,0.013911,0.013794,0.013847,0.013847,44605
2021-09-07,0.013847,0.013964,0.012780,0.013802,0.013802,39833
2021-09-08,0.013800,0.013925,0.013697,0.013718,0.013718,26885
2021-09-09,0.013661,0.013870,0.013515,0.013519,0.013519,28408
2021-09-10,0.013519,0.013535,0.013512,0.013527,0.013527,33953
2021-09-11,0.013528,0.013536,0.006527,0.012554,0.012554,44503
2021-09-12,0.012553,0.012581,0.012017,0.012408,0.012408,36583
2021-09-13,0.012408,0.012442,0.006473,0.009016,0.009016,41812
2021-09-14,0.009015,0.009778,0.009002,0.009593,0.009593,29520
2021-09-15,0.009592,0.009702,0.009501,0.009649,0.009649,39321
2021-09-16,0.009651,0.009652,0.009465,0.009496,0.009496,34595
2021-09-17,0.009497,0.009577,0.009460,0.009482,0.009482,33348
2021-09-18,0.009483,0.009545,0.009454,0.009478,0.009478,32903
2021-09-19,0.009478,0.009945,0.008950,0.009005,0.009005,33289
2021-09-20,0.009006,0.009047,0.008915,0.008918,0.008918,40120
2021-09-21,0.008917,0.009044,0.008894,0.008907,0.008907,41414
2021-09-22,0.008907,0.042223,0.008907,0.033147,0.033147,647702
2021-09-23,0.033160,0.035541,0.023165,0.031335,0.031335,350044
2021-09-24,0.031338,0.034242,0.025713,0.033381,0.033381,152502
2021-09-25,0.033389,0.053053,0.031550,0.046156,0.046156,349964
2021-09-26,0.046148,0.053766,0.033230,0.033379,0.033379,272084
2021-09-27,0.033361,0.044607,0.026991,0.039205,0.039205,408515
2021-09-28,0.039208,0.040017,0.027947,0.028814,0.028814,93557
2021-09-29,0.028787,0.030684,0.028118,0.029306,0.029306,80794
2021-09-30,0.029287,0.030898,0.029054,0.029545,0.029545,76666
2021-10-01,0.029545,0.032455,0.027663,0.031453,0.031453,77366
2021-10-02,0.031456,0.032105,0.022561,0.022609,0.022609,51004
2021-10-03,0.022588,0.024018,0.011524,0.017661,0.017661,22210
2021-10-04,0.017662,0.028172,0.011227,0.021476,0.021476,122514
2021-10-05,0.021480,0.021539,0.014994,0.015677,0.015677,44207
2021-10-06,0.015672,0.018888,0.015509,0.018816,0.018816,67300
2021-10-07,0.018822,0.019789,0.017442,0.019782,0.019782,37502
2021-10-08,0.019765,0.020933,0.019107,0.020932,0.020932,46550
2021-10-09,0.020930,0.024415,0.020700,0.024415,0.024415,15258
2021-10-10,0.024393,0.027459,0.024247,0.026490,0.026490,17760
2021-10-11,0.026465,0.026592,0.018624,0.018785,0.018785,35372
2021-10-12,0.018773,0.022893,0.016941,0.017586,0.017586,78890
2021-10-13,0.017591,0.023056,0.016347,0.021133,0.021133,153504
2021-10-14,0.021145,0.025121,0.020004,0.020652,0.020652,121758
2021-10-15,0.020633,0.020921,0.015708,0.016564,0.016564,81758
2021-10-16,0.016576,0.016918,0.016448,0.016492,0.016492,27415
2021-10-17,0.016492,0.016557,0.014850,0.014859,0.014859,33781
2021-10-18,0.014861,0.014884,0.012291,0.013716,0.013716,45109
2021-10-19,0.013716,0.016349,0.013692,0.014109,0.014109,35444
2021-10-20,0.014103,0.014357,0.014089,0.014189,0.014189,34567
2021-10-21,0.014188,0.014956,0.014036,0.014769,0.014769,40167
2021-10-22,0.014769,0.014892,0.014737,0.014801,0.014801,30523
2021-10-23,0.014801,0.014943,0.014756,0.014774,0.014774,23588
2021-10-24,0.014774,0.014828,0.014742,0.014807,0.014807,32572
2021-10-25,0.014805,0.014842,0.014743,0.014755,0.014755,38694
2021-10-26,0.014754,0.014847,0.014735,0.014779,0.014779,27824
2021-10-27,0.014778,0.014833,0.013739,0.013739,0.013739,3245
2021-10-28,0.013758,0.014802,0.013613,0.014771,0.014771,6330
2021-10-29,0.014774,0.018154,0.014759,0.016974,0.016974,44593
2021-10-30,0.016987,0.019809,0.016617,0.018113,0.018113,33976
2021-10-31,0.018171,0.040054,0.014767,0.016879,0.016879,39237
2021-11-01,0.016879,0.017067,0.016556,0.017030,0.017030,35314
2021-11-02,0.017028,0.018488,0.016852,0.018272,0.018272,35490
2021-11-03,0.018273,0.019662,0.018264,0.019658,0.019658,37558
2021-11-04,0.019657,0.021213,0.019592,0.021040,0.021040,32985
2021-11-05,0.021039,0.032034,0.021039,0.027036,0.027036,31396
2021-11-06,0.027037,0.027126,0.024102,0.024117,0.024117,29513
2021-11-07,0.024122,0.024538,0.020063,0.020070,0.020070,40330
2021-11-08,0.020067,0.024758,0.020005,0.024672,0.024672,84634
2021-11-09,0.024702,0.028216,0.023368,0.023420,0.023420,71480
2021-11-10,0.023418,0.030456,0.018525,0.018549,0.018549,40161
