Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.355920,0.372081,0.319366,0.340920,0.340920,1696820
2021-08-23,0.339326,0.351865,0.315259,0.327484,0.327484,730442
2021-08-24,0.327505,0.329904,0.273997,0.276986,0.276986,1189291
2021-08-25,0.276818,0.307836,0.271117,0.285072,0.285072,1316705
2021-08-26,0.285248,0.293762,0.243039,0.259115,0.259115,818487
2021-08-27,0.259370,0.281639,0.246197,0.278499,0.278499,663348
2021-08-28,0.278494,0.284309,0.255512,0.261842,0.261842,457199
2021-08-29,0.261798,0.265893,0.243127,0.249316,0.249316,546151
2021-08-30,0.249384,0.265507,0.244550,0.258640,0.258640,547957
2021-08-31,0.258722,0.282153,0.245451,0.253703,0.253703,998620
2021-09-01,0.254262,0.313619,0.252865,0.297543,0.297543,948998
2021-09-02,0.297916,0.333744,0.284786,0.323102,0.323102,1332976
2021-09-03,0.323045,0.390198,0.311731,0.388692,0.388692,2067956
2021-09-04,0.388715,0.510162,0.373768,0.456297,0.456297,4529760
2021-09-05,0.456373,0.493864,0.418459,0.473942,0.473942,1928021
2021-09-06,0.473980,0.483129,0.410384,0.424329,0.424329,1751546
2021-09-07,0.424297,0.450665,0.339438,0.383251,0.383251,1278903
2021-09-08,0.383360,0.447705,0.324394,0.438753,0.438753,2139306
2021-09-09,0.424716,0.460134,0.385043,0.446345,0.446345,1556252
2021-09-10,0.446322,0.474968,0.371905,0.392262,0.392262,1738229
2021-09-11,0.392353,0.440641,0.384902,0.423033,0.423033,1251582
2021-09-12,0.423195,0.576900,0.422927,0.554170,0.554170,2930643
2021-09-13,0.553454,0.753520,0.519955,0.714687,0.714687,6519948
2021-09-14,0.715332,0.922906,0.684364,0.802067,0.802067,9962441
2021-09-15,0.805973,0.833057,0.715409,0.734476,0.734476,2328059
2021-09-16,0.735297,0.736698,0.650833,0.658131,0.658131,2084707
2021-09-17,0.658001,0.663863,0.571744,0.648724,0.648724,2491013
2021-09-18,0.649688,0.653087,0.613914,0.625195,0.625195,1431139
2021-09-19,0.625373,0.633268,0.568849,0.611921,0.611921,1624918
2021-09-20,0.611767,0.615118,0.452027,0.519041,0.519041,3054831
