Date,Open,High,Low,Close,Adj Close,Volume
2022-01-11,11.002112,437.072296,11.001909,11.910873,11.910873,210559213
2022-01-12,11.976942,12.565590,8.398813,8.971502,8.971502,259770390
2022-01-13,8.970017,14.378293,8.565941,11.746362,11.746362,481463775
2022-01-14,11.741825,15.884320,11.376465,13.445150,13.445150,422720215
2022-01-15,13.440516,14.189426,12.415713,12.637618,12.637618,148136388
2022-01-16,12.638590,12.782467,10.506796,10.506796,10.506796,108179944
2022-01-17,10.479660,10.969565,9.645979,9.971585,9.971585,125772626
2022-01-18,9.985226,10.245583,8.665427,9.144612,9.144612,105546928
2022-01-19,9.177920,10.992259,8.447925,10.217750,10.217750,170934490
2022-01-20,10.183006,11.315101,9.826729,9.826729,9.826729,47751376
2022-01-21,9.799763,10.009382,8.519724,8.658977,8.658977,85724737
2022-01-22,8.664842,9.002962,6.796739,7.406135,7.406135,83298765
2022-01-23,7.406868,8.681928,7.389181,8.018445,8.018445,55712868
2022-01-24,8.011868,8.017715,6.521599,7.410117,7.410117,60903458
2022-01-25,7.408511,7.969724,7.111219,7.766220,7.766220,41598841
2022-01-26,7.769339,7.869986,7.039347,7.245516,7.245516,38893990
2022-01-27,7.236746,7.320781,6.514360,6.601180,6.601180,40434893
2022-01-28,6.601697,6.667820,6.004163,6.422321,6.422321,43165879
2022-01-29,6.426224,6.532483,6.105202,6.179000,6.179000,33858907
2022-01-30,6.179954,6.363809,5.678195,5.727059,5.727059,31906084
2022-01-31,5.722961,5.722961,5.081158,5.395186,5.395186,40348778
2022-02-01,5.395560,5.745120,5.252573,5.331046,5.331046,30661285
2022-02-02,5.327555,5.497354,5.028801,5.082961,5.082961,31475028
2022-02-03,5.084752,5.101640,4.593775,4.745982,4.745982,26347264
2022-02-04,4.746478,6.062142,4.740755,5.721464,5.721464,88340420
2022-02-05,5.731497,6.190511,5.690011,5.759534,5.759534,67994446
2022-02-06,5.758621,6.671656,5.758621,6.145214,6.145214,66144505
2022-02-07,6.151833,6.613273,6.002745,6.292979,6.292979,42534994
2022-02-08,6.288264,6.363962,5.623872,5.833221,5.833221,35448373
2022-02-09,5.832139,5.997969,5.628724,5.901415,5.901415,30263019
2022-02-10,5.901215,5.951889,5.525913,5.537064,5.537064,34863230
2022-02-11,5.537225,5.946143,5.214258,5.225077,5.225077,53261928
2022-02-12,5.222084,5.288694,4.795406,4.888845,4.888845,38784769
2022-02-13,4.889662,5.016417,4.658610,4.718893,4.718893,26089431
2022-02-14,4.717234,4.761927,4.495465,4.657043,4.657043,29603828
2022-02-15,4.655133,5.396528,4.642931,5.167799,5.167799,52031794
2022-02-16,5.172507,5.381070,4.899452,5.052239,5.052239,51639822
2022-02-17,5.050394,5.115104,4.281275,4.303230,4.303230,42898050
2022-02-18,4.304666,4.513174,3.827932,3.881815,3.881815,47472426
2022-02-19,3.880745,4.007249,3.593195,3.673186,3.673186,44072580
2022-02-20,3.673812,3.675223,1.930111,2.842502,2.842502,566202439
2022-02-21,2.844812,2.895370,2.317618,2.326638,2.326638,353196193
2022-02-22,2.325324,2.485765,2.219088,2.422737,2.422737,119801604
2022-02-23,2.421065,2.593707,2.229776,2.262434,2.262434,92297532
2022-02-24,2.258361,2.263976,1.888792,2.159462,2.159462,133569506
2022-02-25,2.162853,2.382622,2.148774,2.382622,2.382622,81558886
2022-02-26,2.384994,2.676975,2.333873,2.580265,2.580265,128062129
2022-02-27,2.578606,2.643580,2.326214,2.356646,2.356646,101059356
2022-02-28,2.356242,2.657446,2.301130,2.657446,2.657446,89507015
2022-03-01,2.657842,2.709966,2.534967,2.623861,2.623861,65106538
2022-03-02,2.624062,3.018750,2.525112,2.896373,2.896373,154285586
2022-03-03,2.894968,3.344191,2.759514,3.084338,3.084338,285159986
2022-03-04,3.085938,3.466608,2.844452,3.079449,3.079449,240863498
2022-03-05,3.081061,3.356447,2.882726,2.936767,2.936767,121454610
2022-03-06,2.936692,3.014470,2.660537,2.703061,2.703061,78390557
2022-03-07,2.703610,2.764679,2.520854,2.564342,2.564342,59583340
2022-03-08,2.563775,2.620633,2.470444,2.470845,2.470845,45710039
2022-03-09,2.472376,2.790807,2.472376,2.618822,2.618822,66482272
2022-03-10,2.618260,2.912229,2.409865,2.533799,2.533799,102042909
2022-03-11,2.534569,2.642413,2.419658,2.419703,2.419703,63536742
2022-03-12,2.420075,2.485113,2.379741,2.379741,2.379741,40640136
2022-03-13,2.378189,2.447209,2.230756,2.244744,2.244744,38255940
2022-03-14,2.244430,2.433174,2.190997,2.381305,2.381305,69906633
2022-03-15,2.381005,2.385332,2.194420,2.236674,2.236674,66797188
