Date,Open,High,Low,Close,Adj Close,Volume
2022-01-07,0.007928,0.008790,0.004410,0.007777,0.007777,3123979
2022-01-08,0.007777,0.008308,0.005033,0.006093,0.006093,1581710
2022-01-09,0.006093,0.006093,0.004776,0.004935,0.004935,1125161
2022-01-10,0.004935,0.005005,0.003559,0.003700,0.003700,793678
2022-01-11,0.003700,0.004322,0.003657,0.004221,0.004221,643670
2022-01-12,0.004221,0.004770,0.004186,0.004712,0.004712,804442
2022-01-13,0.004712,0.005259,0.004539,0.004759,0.004759,847764
2022-01-14,0.004759,0.005363,0.004601,0.004865,0.004865,838615
2022-01-15,0.004865,0.005711,0.004660,0.005426,0.005426,860264
2022-01-16,0.005426,0.005987,0.004967,0.005692,0.005692,1067474
2022-01-17,0.005692,0.005881,0.004925,0.005051,0.005051,918481
2022-01-18,0.005051,0.005248,0.004778,0.005213,0.005213,661398
2022-01-19,0.005213,0.005223,0.004803,0.004886,0.004886,308692
2022-01-20,0.004886,0.005387,0.004571,0.004571,0.004571,562039
2022-01-21,0.004571,0.004595,0.002831,0.002896,0.002896,889254
2022-01-22,0.002896,0.002977,0.002080,0.002424,0.002424,477173
2022-01-23,0.002424,0.004411,0.002415,0.004325,0.004325,760821
2022-01-24,0.004325,0.004325,0.002769,0.002859,0.002859,1022525
2022-01-25,0.002859,0.003288,0.002612,0.003037,0.003037,566140
2022-01-26,0.003037,0.003121,0.002420,0.002504,0.002504,478310
2022-01-27,0.002504,0.002862,0.002292,0.002551,0.002551,392249
2022-01-28,0.002551,0.002578,0.002104,0.002229,0.002229,387044
2022-01-29,0.002229,0.002509,0.002199,0.002475,0.002475,259985
2022-01-30,0.002475,0.002479,0.002167,0.002198,0.002198,203578
2022-01-31,0.002198,0.002352,0.002030,0.002323,0.002323,359690
2022-02-01,0.002323,0.002441,0.002297,0.002386,0.002386,175362
2022-02-02,0.002386,0.002411,0.002091,0.002091,0.002091,83794
2022-02-03,0.002091,0.002168,0.002028,0.002115,0.002115,146341
2022-02-04,0.002115,0.002295,0.002108,0.002295,0.002295,324680
2022-02-05,0.002295,0.002406,0.002220,0.002263,0.002263,332820
2022-02-06,0.002263,0.002296,0.002145,0.002245,0.002245,269738
2022-02-07,0.002245,0.002568,0.002215,0.002405,0.002405,312627
2022-02-08,0.002405,0.002660,0.002364,0.002443,0.002443,338754
2022-02-09,0.002443,0.002664,0.002370,0.002609,0.002609,166472
2022-02-10,0.002609,0.002609,0.002314,0.002457,0.002457,120113
2022-02-11,0.002457,0.002486,0.002016,0.002045,0.002045,312337
2022-02-12,0.002045,0.002097,0.001848,0.001963,0.001963,278761
2022-02-13,0.001963,0.002126,0.001960,0.002051,0.002051,346571
2022-02-14,0.002051,0.002402,0.001998,0.002395,0.002395,300793
2022-02-15,0.002395,0.002754,0.002395,0.002553,0.002553,342227
2022-02-16,0.002553,0.002660,0.002302,0.002336,0.002336,326081
