Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,1.009353,1.391791,0.985019,1.334388,1.334388,9184367
2021-08-23,1.332837,1.344339,1.184667,1.233879,1.233879,5450964
2021-08-24,1.236377,1.330063,1.129471,1.208465,1.208465,4228887
2021-08-25,1.207537,1.321364,1.099468,1.281194,1.281194,4503469
2021-08-26,1.282648,1.444649,1.178341,1.231458,1.231458,4333345
2021-08-27,1.231089,1.232712,1.134332,1.183712,1.183712,2862272
2021-08-28,1.183942,1.239163,1.170958,1.172877,1.172877,1616957
2021-08-29,1.174968,1.205185,1.089293,1.104471,1.104471,1921374
2021-08-30,1.103601,1.207115,1.050139,1.073833,1.073833,2751284
2021-08-31,1.073605,1.134866,0.997996,1.094609,1.094609,2400565
2021-09-01,1.094021,1.094021,1.023354,1.061086,1.061086,1749451
2021-09-02,1.061806,1.291092,1.036477,1.216823,1.216823,3777724
2021-09-03,1.214730,1.286779,1.131415,1.228342,1.228342,4903618
2021-09-04,1.229224,1.275896,1.122343,1.128691,1.128691,3521500
2021-09-05,1.128603,1.230407,1.100233,1.209973,1.209973,3397204
2021-09-06,1.209970,1.228952,1.131562,1.174688,1.174688,2601626
2021-09-07,1.178324,1.189208,0.820122,0.854051,0.854051,3099329
2021-09-08,0.853444,0.928565,0.753660,0.831324,0.831324,2040187
2021-09-09,0.834468,0.875163,0.805881,0.836999,0.836999,1176890
2021-09-10,0.836969,0.847970,0.759108,0.780244,0.780244,1305875
2021-09-11,0.780355,0.801032,0.772847,0.785426,0.785426,1051635
2021-09-12,0.785434,0.844961,0.746801,0.808299,0.808299,4459013
2021-09-13,0.808354,0.847460,0.713403,0.784964,0.784964,2097419
2021-09-14,0.784352,0.865478,0.770470,0.844799,0.844799,1143358
2021-09-15,0.844879,0.864117,0.801609,0.828162,0.828162,1063414
2021-09-16,0.828298,0.875751,0.792006,0.811806,0.811806,1067239
2021-09-17,0.811967,0.823087,0.786974,0.789065,0.789065,978004
2021-09-18,0.789045,0.826155,0.788715,0.816464,0.816464,892275
2021-09-19,0.816449,0.829220,0.782470,0.789398,0.789398,1052532
2021-09-20,0.789100,0.796695,0.630153,0.696725,0.696725,1985846
2021-09-21,0.696491,0.712813,0.635360,0.640475,0.640475,1622079
2021-09-22,0.640952,0.761592,0.636620,0.712611,0.712611,1505309
2021-09-23,0.712682,0.744347,0.689063,0.707858,0.707858,851618
2021-09-24,0.708054,0.709726,0.553953,0.618693,0.618693,1215203
2021-09-25,0.618731,0.619576,0.533701,0.555616,0.555616,1338807
2021-09-26,0.555578,0.557723,0.409774,0.477237,0.477237,2524812
2021-09-27,0.477248,0.551706,0.468742,0.505189,0.505189,2618716
2021-09-28,0.505200,0.524532,0.483450,0.499034,0.499034,2139255
2021-09-29,0.498891,0.522269,0.492816,0.508659,0.508659,2534024
2021-09-30,0.508632,0.538351,0.504813,0.536875,0.536875,1930035
2021-10-01,0.536870,0.650328,0.518514,0.601825,0.601825,1243279
2021-10-02,0.602162,0.634198,0.595966,0.617552,0.617552,1627771
2021-10-03,0.617731,0.617874,0.567653,0.581434,0.581434,1949501
2021-10-04,0.581393,0.603801,0.550436,0.563341,0.563341,1781678
2021-10-05,0.563089,0.606558,0.553817,0.586780,0.586780,1916277
2021-10-06,0.586757,0.725308,0.576285,0.711529,0.711529,1910923
2021-10-07,0.711505,0.812985,0.655360,0.763331,0.763331,2321208
2021-10-08,0.763353,0.804037,0.706302,0.716901,0.716901,1424003
2021-10-09,0.716960,0.855846,0.713246,0.771015,0.771015,1967986
2021-10-10,0.771405,0.808527,0.729236,0.737471,0.737471,1660611
2021-10-11,0.737334,0.805175,0.733208,0.768475,0.768475,1670668
2021-10-12,0.768408,0.768408,0.679864,0.687964,0.687964,1763651
2021-10-13,0.688201,0.716356,0.630329,0.701762,0.701762,2519443
2021-10-14,0.701821,0.724184,0.653859,0.659608,0.659608,1614803
2021-10-15,0.659619,0.730294,0.636275,0.706813,0.706813,1353734
2021-10-16,0.706769,0.771872,0.693083,0.732797,0.732797,1375614
2021-10-17,0.732654,0.775667,0.701068,0.724481,0.724481,1279778
2021-10-18,0.724464,0.759196,0.713141,0.719480,0.719480,1085556
2021-10-19,0.719374,0.751847,0.674317,0.687339,0.687339,1369425
2021-10-20,0.687387,0.706247,0.651941,0.691953,0.691953,1420881
2021-10-21,0.692007,0.733054,0.659283,0.670771,0.670771,1449736
2021-10-22,0.670627,0.716428,0.649924,0.658266,0.658266,1482217
2021-10-23,0.658215,0.684104,0.635885,0.645384,0.645384,1743127
2021-10-24,0.644990,0.686385,0.610147,0.626299,0.626299,1983812
2021-10-25,0.626226,0.684736,0.620257,0.645316,0.645316,2165578
2021-10-26,0.645574,0.657444,0.607732,0.619286,0.619286,1936519
2021-10-27,0.618803,0.638542,0.560408,0.568120,0.568120,1953404
2021-10-28,0.567966,0.708873,0.560693,0.624755,0.624755,2747136
2021-10-29,0.624722,0.665280,0.609841,0.645144,0.645144,2623480
2021-10-30,0.645312,0.665808,0.590992,0.623097,0.623097,2247543
2021-10-31,0.623458,0.646215,0.588872,0.615998,0.615998,2416246
2021-11-01,0.616156,0.661104,0.552565,0.661104,0.661104,2510383
2021-11-02,0.661043,1.260620,0.653431,1.031238,1.031238,10666173
2021-11-03,1.031601,1.157999,0.884901,0.906972,0.906972,6229127
2021-11-04,0.906954,0.986967,0.848532,0.886875,0.886875,2851440
2021-11-05,0.886065,1.068911,0.876983,0.942215,0.942215,2643916
2021-11-06,0.941810,0.971039,0.849902,0.908163,0.908163,1972062
2021-11-07,0.907287,0.925670,0.823899,0.864961,0.864961,2329563
2021-11-08,0.865340,0.873666,0.797250,0.857695,0.857695,2311276
2021-11-09,0.857782,1.002501,0.826376,0.908212,0.908212,2134864
2021-11-10,0.907039,1.264212,0.888368,1.016020,1.016020,5337936
2021-11-11,1.016348,1.345382,0.980980,1.175381,1.175381,9313534
