Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.000172,0.000176,0.000152,0.000159,0.000159,5315957
2021-08-23,0.000159,0.000197,0.000159,0.000171,0.000171,7503697
2021-08-24,0.000171,0.000174,0.000139,0.000150,0.000150,7552330
2021-08-25,0.000150,0.000156,0.000132,0.000138,0.000138,5641813
2021-08-26,0.000139,0.000140,0.000112,0.000119,0.000119,5878882
2021-08-27,0.000119,0.000142,0.000112,0.000141,0.000141,6034565
2021-08-28,0.000141,0.000144,0.000125,0.000134,0.000134,6111968
2021-08-29,0.000134,0.000136,0.000118,0.000128,0.000128,4596439
2021-08-30,0.000128,0.000128,0.000112,0.000112,0.000112,4109379
2021-08-31,0.000111,0.000122,0.000107,0.000111,0.000111,4241955
2021-09-01,0.000111,0.000112,0.000099,0.000109,0.000109,4111257
2021-09-02,0.000109,0.000122,0.000104,0.000108,0.000108,5008444
2021-09-03,0.000108,0.000119,0.000107,0.000114,0.000114,4411480
2021-09-04,0.000114,0.000116,0.000106,0.000107,0.000107,3725540
2021-09-05,0.000107,0.000120,0.000107,0.000118,0.000118,3843617
2021-09-06,0.000119,0.000146,0.000119,0.000135,0.000135,9338831
2021-09-07,0.000135,0.000179,0.000097,0.000109,0.000109,14256873
2021-09-08,0.000109,0.000121,0.000099,0.000115,0.000115,6306132
2021-09-09,0.000118,0.000417,0.000109,0.000116,0.000116,6615769
2021-09-10,0.000116,0.000122,0.000101,0.000107,0.000107,6235548
2021-09-11,0.000107,0.000111,0.000105,0.000106,0.000106,4142535
2021-09-12,0.000106,0.000117,0.000105,0.000109,0.000109,3743688
2021-09-13,0.000109,0.000110,0.000093,0.000097,0.000097,5147535
2021-09-14,0.000097,0.000104,0.000097,0.000098,0.000098,4341151
2021-09-15,0.000098,0.000109,0.000097,0.000106,0.000106,3730764
2021-09-16,0.000106,0.000116,0.000102,0.000109,0.000109,5093656
2021-09-17,0.000109,0.000112,0.000097,0.000100,0.000100,4707751
2021-09-18,0.000100,0.000105,0.000099,0.000101,0.000101,3681677
2021-09-19,0.000101,0.000104,0.000099,0.000101,0.000101,3070020
2021-09-20,0.000101,0.000101,0.000081,0.000081,0.000081,4997823
2021-09-21,0.000081,0.000082,0.000068,0.000070,0.000070,4116715
2021-09-22,0.000070,0.000082,0.000069,0.000081,0.000081,3190377
2021-09-23,0.000081,0.000087,0.000078,0.000085,0.000085,2662373
2021-09-24,0.000085,0.000090,0.000076,0.000081,0.000081,3541635
2021-09-25,0.000081,0.000081,0.000076,0.000079,0.000079,2408651
2021-09-26,0.000079,0.000079,0.000071,0.000075,0.000075,2983111
2021-09-27,0.000076,0.000079,0.000074,0.000074,0.000074,2604622
2021-09-28,0.000074,0.000076,0.000071,0.000072,0.000072,3366250
2021-09-29,0.000072,0.000079,0.000071,0.000074,0.000074,3053470
2021-09-30,0.000074,0.000078,0.000073,0.000075,0.000075,2629848
2021-10-01,0.000075,0.000087,0.000075,0.000084,0.000084,2966896
2021-10-02,0.000084,0.000090,0.000081,0.000088,0.000088,2881666
2021-10-03,0.000088,0.000092,0.000085,0.000089,0.000089,2741222
2021-10-04,0.000089,0.000090,0.000084,0.000088,0.000088,3571329
2021-10-05,0.000088,0.000094,0.000086,0.000090,0.000090,3200469
2021-10-06,0.000090,0.000100,0.000085,0.000096,0.000096,3623473
2021-10-07,0.000096,0.000097,0.000090,0.000091,0.000091,3130578
