Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,3.642579,3.667889,3.383941,3.452423,3.452423,1022713
2021-08-23,3.451925,4.291025,3.451925,3.880347,3.880347,2953997
2021-08-24,3.880444,4.019173,3.474589,3.492641,3.492641,1389073
2021-08-25,3.504006,3.753449,3.450150,3.693831,3.693831,1448612
2021-08-26,3.699182,3.715050,3.444398,3.469635,3.469635,1094257
2021-08-27,3.469377,3.699355,3.443075,3.655260,3.655260,1291298
2021-08-28,3.649769,3.728434,3.561394,3.664666,3.664666,1044534
2021-08-29,3.665178,3.707076,3.469826,3.664519,3.664519,1053821
2021-08-30,3.664899,3.664899,3.393596,3.393596,3.393596,906851
2021-08-31,3.393401,3.405484,3.046180,3.106353,3.106353,974345
2021-09-01,3.106111,3.285120,2.945884,3.285120,3.285120,1009076
2021-09-02,3.281555,3.427959,3.250874,3.290377,3.290377,852265
2021-09-03,3.289806,3.495071,3.115245,3.147219,3.147219,941575
2021-09-04,3.147124,3.155500,2.951419,3.005387,3.005387,1013414
2021-09-05,3.005131,3.281887,2.981556,3.107312,3.107312,1005375
2021-09-06,3.106386,4.623603,3.056519,4.347679,4.347679,3329836
2021-09-07,4.347676,4.347676,3.489646,3.573262,3.573262,1761596
2021-09-08,3.572864,3.588570,3.206091,3.264787,3.264787,860619
2021-09-09,3.229872,3.457532,3.003107,3.181075,3.181075,1413262
2021-09-10,3.180815,3.282357,2.757462,2.782381,2.782381,814551
2021-09-11,2.780304,3.030073,2.776802,2.837253,2.837253,932483
2021-09-12,2.836294,3.222521,2.796204,2.930334,2.930334,1146473
2021-09-13,2.930322,2.942402,2.558265,2.716884,2.716884,763790
2021-09-14,2.716551,2.847827,2.602742,2.817422,2.817422,851422
2021-09-15,2.816873,2.900823,2.779858,2.796433,2.796433,744885
2021-09-16,2.800562,2.817944,2.552693,2.578761,2.578761,707308
2021-09-17,2.578775,2.583861,2.332187,2.441160,2.441160,748961
2021-09-18,2.439901,3.133900,2.429179,3.038314,3.038314,1542120
2021-09-19,3.039221,3.414230,2.977678,3.360499,3.360499,1292253
2021-09-20,3.371694,3.482437,2.828779,2.934189,2.934189,1217438
2021-09-21,2.935203,3.165524,2.753549,2.774169,2.774169,966583
2021-09-22,2.775610,2.936947,2.712701,2.884593,2.884593,734122
2021-09-23,2.884524,3.109516,2.863924,2.998971,2.998971,814004
2021-09-24,2.998908,3.071590,2.698761,2.891067,2.891067,398305
2021-09-25,2.890333,3.059261,2.769613,2.972336,2.972336,771995
2021-09-26,2.973513,3.009960,2.749226,2.872921,2.872921,1048610
2021-09-27,2.872872,3.145652,2.847292,2.992716,2.992716,1639649
2021-09-28,2.992731,3.169567,2.743044,2.869717,2.869717,2421376
2021-09-29,2.867640,2.947594,2.698192,2.784584,2.784584,2084523
2021-09-30,2.784209,2.960427,2.743933,2.921206,2.921206,2258798
2021-10-01,2.921164,3.070808,2.850131,3.042501,3.042501,711711
2021-10-02,3.042692,3.053249,2.854133,2.875536,2.875536,730974
2021-10-03,2.874807,3.023878,2.842376,2.868373,2.868373,829837
2021-10-04,2.867410,2.874310,2.729021,2.739760,2.739760,683279
2021-10-05,2.738882,2.895480,2.665854,2.854853,2.854853,799518
2021-10-06,2.854442,2.879705,2.704114,2.765862,2.765862,614365
2021-10-07,2.765632,2.780701,2.598812,2.627476,2.627476,520493
2021-10-08,2.627388,2.692310,2.532236,2.643958,2.643958,650172
2021-10-09,2.648282,2.988925,2.636559,2.690975,2.690975,863431
2021-10-10,2.690482,2.772273,2.646728,2.648021,2.648021,479664
2021-10-11,2.648185,2.939402,2.632982,2.751040,2.751040,695246
2021-10-12,2.751241,2.765253,2.642102,2.655758,2.655758,653384
2021-10-13,2.655214,3.198562,2.653846,3.057640,3.057640,1014489
2021-10-14,3.057619,3.701784,2.974165,3.330334,3.330334,1870916
2021-10-15,3.331817,3.331956,2.944849,2.995639,2.995639,738159
2021-10-16,2.996076,3.006068,2.767654,2.844314,2.844314,656101
2021-10-17,2.844260,3.075006,2.783072,3.038139,3.038139,742710
2021-10-18,3.038697,4.839340,3.037438,4.421882,4.421882,4758753
2021-10-19,4.418413,6.159841,3.900588,5.849105,5.849105,7576656
2021-10-20,5.825819,5.842241,4.803045,4.832034,4.832034,3285240
2021-10-21,4.832100,5.815851,4.658005,5.311260,5.311260,2289016
2021-10-22,5.311437,5.751128,5.071761,5.188226,5.188226,1686316
2021-10-23,5.188577,5.720798,5.075904,5.237619,5.237619,1746430
2021-10-24,5.244146,5.337235,4.738417,5.050841,5.050841,1848583
2021-10-25,5.049815,5.552698,4.980371,5.115124,5.115124,2000390
2021-10-26,5.116064,5.507511,5.005950,5.242758,5.242758,2156470
2021-10-27,5.241375,5.518331,4.641693,4.742908,4.742908,1868009
2021-10-28,4.740545,5.350228,4.462919,4.930805,4.930805,1857457
2021-10-29,4.929418,5.702524,4.929418,5.318149,5.318149,2199892
2021-10-30,5.316734,6.439692,4.977080,5.857010,5.857010,2064379
2021-10-31,5.861200,7.098210,5.689705,5.914480,5.914480,2598185
2021-11-01,5.914112,6.176123,5.511968,5.526427,5.526427,1745420
2021-11-02,5.528715,5.665215,5.355043,5.465729,5.465729,1248780
2021-11-03,5.465249,5.548458,4.866254,4.897133,4.897133,1134270
2021-11-04,4.897726,5.176359,4.579585,4.769391,4.769391,648598
2021-11-05,4.768544,5.217954,4.625016,4.826845,4.826845,995207
2021-11-06,4.826684,4.974954,4.745650,4.785360,4.785360,426046
2021-11-07,4.786176,5.101277,4.745785,4.954807,4.954807,673789
2021-11-08,4.946439,5.435853,4.939008,5.310765,5.310765,783615
2021-11-09,5.311018,5.347161,4.828214,4.845883,4.845883,552889
2021-11-10,4.846326,5.036436,4.613253,4.623467,4.623467,590282
2021-11-11,4.624217,4.753537,4.514630,4.688099,4.688099,486699
2021-11-12,4.682925,4.731046,4.209816,4.362335,4.362335,727831
2021-11-13,4.366125,4.424158,4.172500,4.352979,4.352979,452987
2021-11-14,4.353668,4.367854,4.055850,4.143130,4.143130,442708
2021-11-15,4.145405,4.440810,3.889381,3.903303,3.903303,805891
2021-11-16,3.910549,12.028225,3.574627,3.642208,3.642208,345386
2021-11-17,3.641309,4.183472,3.530941,3.688987,3.688987,844165
2021-11-18,3.688813,3.793720,3.346134,3.376397,3.376397,522328
2021-11-19,3.375335,4.049800,3.293080,3.984679,3.984679,924784
