Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.010047,0.010059,0.010038,0.010049,0.010049,30
2021-08-23,0.010049,0.010051,0.010040,0.010048,0.010048,45
2021-08-24,0.010048,0.010051,0.010040,0.010044,0.010044,42
2021-08-25,0.010043,0.010045,0.010041,0.010043,0.010043,43
2021-08-26,0.010044,0.010047,0.010041,0.010045,0.010045,38
2021-08-27,0.010044,0.010052,0.010041,0.010044,0.010044,37
2021-08-28,0.010044,0.010054,0.010039,0.010046,0.010046,36
2021-08-29,0.010046,0.010056,0.010041,0.010052,0.010052,41
2021-08-30,0.010052,0.010054,0.010042,0.010046,0.010046,40
2021-08-31,0.010045,0.010049,0.010041,0.010046,0.010046,40
2021-09-01,0.010045,0.010048,0.010040,0.010044,0.010044,39
2021-09-02,0.010044,0.010047,0.010038,0.010044,0.010044,39
2021-09-03,0.010043,0.010046,0.010040,0.010042,0.010042,42
2021-09-04,0.010042,0.010048,0.010041,0.010046,0.010046,41
2021-09-05,0.010044,0.010047,0.010041,0.010043,0.010043,42
2021-09-06,0.010043,0.010049,0.010036,0.010038,0.010038,36
2021-09-07,0.010039,0.010053,0.010037,0.010047,0.010047,42
2021-09-08,0.010045,0.010047,0.010041,0.010042,0.010042,41
2021-09-09,0.010043,0.010065,0.010040,0.010042,0.010042,36
2021-09-10,0.010041,0.010047,0.010039,0.010043,0.010043,40
2021-09-11,0.010043,0.010051,0.010037,0.010051,0.010051,39
2021-09-12,0.010050,0.010052,0.010033,0.010036,0.010036,38
2021-09-13,0.010037,0.010047,0.010035,0.010044,0.010044,38
2021-09-14,0.010042,0.010051,0.010041,0.010046,0.010046,36
2021-09-15,0.010045,0.010049,0.010040,0.010043,0.010043,40
2021-09-16,0.010045,0.010047,0.010041,0.010043,0.010043,39
2021-09-17,0.010045,0.010050,0.010035,0.010036,0.010036,42
2021-09-18,0.010036,0.010050,0.010031,0.010035,0.010035,35
2021-09-19,0.010035,0.010058,0.010022,0.010043,0.010043,39
2021-09-20,0.010044,0.010045,0.010038,0.010039,0.010039,43
2021-09-21,0.010039,0.010045,0.010038,0.010041,0.010041,43
2021-09-22,0.010041,0.010050,0.010040,0.010040,0.010040,40
2021-09-23,0.010041,0.010054,0.010039,0.010045,0.010045,40
2021-09-24,0.010045,0.010054,0.010039,0.010048,0.010048,39
2021-09-25,0.010048,0.010057,0.010044,0.010050,0.010050,40
2021-09-26,0.010050,0.010054,0.010044,0.010048,0.010048,40
2021-09-27,0.010047,0.010054,0.010039,0.010045,0.010045,41
2021-09-28,0.010045,0.010048,0.010041,0.010044,0.010044,40
2021-09-29,0.010043,0.010047,0.010037,0.010043,0.010043,34
2021-09-30,0.010043,0.010045,0.010035,0.010042,0.010042,44
2021-10-01,0.010042,0.010044,0.010038,0.010041,0.010041,43
2021-10-02,0.010042,0.010046,0.010040,0.010044,0.010044,38
2021-10-03,0.010043,0.010046,0.010037,0.010043,0.010043,41
2021-10-04,0.010042,0.010046,0.010034,0.010039,0.010039,37
2021-10-05,0.010038,0.010050,0.010035,0.010045,0.010045,36
2021-10-06,0.010044,0.010052,0.010033,0.010044,0.010044,40
2021-10-07,0.010043,0.010052,0.010036,0.010044,0.010044,40
2021-10-08,0.010044,0.010045,0.010038,0.010041,0.010041,42
2021-10-09,0.010041,0.010044,0.010039,0.010042,0.010042,41
2021-10-10,0.010040,0.010051,0.010035,0.010049,0.010049,38
2021-10-11,0.010050,0.010051,0.010038,0.010046,0.010046,41
2021-10-12,0.010047,0.010050,0.010040,0.010040,0.010040,39
2021-10-13,0.010041,0.010048,0.010035,0.010041,0.010041,39
2021-10-14,0.010041,0.010043,0.010037,0.010040,0.010040,37
2021-10-15,0.010040,0.010046,0.010030,0.010031,0.010031,41
2021-10-16,0.010031,0.010042,0.010030,0.010041,0.010041,41
2021-10-17,0.010040,0.010047,0.010035,0.010043,0.010043,39
2021-10-18,0.010043,0.010046,0.010033,0.010040,0.010040,38
2021-10-19,0.010040,0.010046,0.010035,0.010041,0.010041,41
2021-10-20,0.010041,0.010047,0.010036,0.010039,0.010039,41
2021-10-21,0.010039,0.010044,0.010034,0.010040,0.010040,44
2021-10-22,0.010040,0.010044,0.010036,0.010039,0.010039,44
2021-10-23,0.010039,0.010049,0.010038,0.010049,0.010049,39
2021-10-24,0.010048,0.010051,0.010031,0.010043,0.010043,40
2021-10-25,0.010042,0.010050,0.010031,0.010035,0.010035,37
2021-10-26,0.010034,0.010048,0.010033,0.010042,0.010042,38
2021-10-27,0.010042,0.010056,0.010036,0.010048,0.010048,41
2021-10-28,0.010048,0.010051,0.010043,0.010044,0.010044,42
2021-10-29,0.010045,0.010050,0.010035,0.010040,0.010040,44
2021-10-30,0.010040,0.010051,0.010036,0.010044,0.010044,43
2021-10-31,0.010045,0.010057,0.010035,0.010044,0.010044,39
2021-11-01,0.010044,0.010053,0.010038,0.010044,0.010044,34
2021-11-02,0.010043,0.010054,0.010039,0.010048,0.010048,36
2021-11-03,0.010048,0.010054,0.010043,0.010047,0.010047,39
2021-11-04,0.010047,0.010053,0.010045,0.010049,0.010049,40
2021-11-05,0.010049,0.010059,0.010047,0.010056,0.010056,38
2021-11-06,0.010056,0.010057,0.010046,0.010053,0.010053,38
2021-11-07,0.010055,0.010060,0.010046,0.010055,0.010055,39
2021-11-08,0.010055,0.010056,0.010042,0.010045,0.010045,38
2021-11-09,0.010044,0.010052,0.010041,0.010041,0.010041,39
2021-11-10,0.010042,0.010059,0.010020,0.010041,0.010041,37
2021-11-11,0.010041,0.010060,0.010020,0.010059,0.010059,42
2021-11-12,0.010046,0.010060,0.010021,0.010029,0.010029,43
2021-11-13,0.010041,0.010060,0.010020,0.010049,0.010049,35
2021-11-14,0.010048,0.010060,0.010021,0.010042,0.010042,41
