Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,4.547937,4.615298,4.350569,4.455487,4.455487,195923
2021-08-23,4.457573,4.587100,4.424567,4.489096,4.489096,107463
2021-08-24,4.488907,4.525763,4.181523,4.247865,4.247865,115279
2021-08-25,4.245897,4.571890,4.116706,4.348504,4.348504,74366
2021-08-26,4.348428,4.558079,4.081962,4.088649,4.088649,82068
2021-08-27,4.087720,4.434013,4.022750,4.336691,4.336691,63531
2021-08-28,4.339931,4.518552,4.310959,4.438846,4.438846,69855
2021-08-29,4.424575,4.924032,4.149421,4.237250,4.237250,119695
2021-08-30,4.242516,4.491686,4.134997,4.373452,4.373452,244925
2021-08-31,4.375759,4.464521,4.227774,4.400814,4.400814,90151
2021-09-01,4.399200,4.979970,4.347185,4.979970,4.979970,127102
2021-09-02,4.979825,5.276766,4.871533,5.199354,5.199354,83839
2021-09-03,5.198981,5.293961,4.877692,5.209042,5.209042,85614
2021-09-04,5.201454,5.330564,5.115219,5.228793,5.228793,66832
2021-09-05,5.232169,5.433143,5.106559,5.423181,5.423181,24706
2021-09-06,5.423707,5.510634,5.240688,5.408290,5.408290,26111
2021-09-07,5.351904,5.458054,4.259911,4.519061,4.519061,54272
2021-09-08,4.518496,4.610499,4.332610,4.441872,4.441872,17565
2021-09-09,4.390865,4.586143,4.371837,4.449370,4.449370,17247
2021-09-10,4.450635,4.565435,4.229059,4.348257,4.348257,13639
2021-09-11,4.349476,4.495909,4.066717,4.433140,4.433140,13496
2021-09-12,4.432832,4.594622,4.182447,4.422523,4.422523,10956
2021-09-13,4.419088,4.597581,4.030488,4.151310,4.151310,92355
2021-09-14,4.150746,4.635248,4.110498,4.621966,4.621966,80022
2021-09-15,4.623345,4.923917,4.549686,4.830095,4.830095,40888
2021-09-16,4.871743,4.898181,4.568522,4.601053,4.601053,41968
2021-09-17,4.601645,4.768061,4.550331,4.694522,4.694522,23815
2021-09-18,4.698397,4.868909,4.598221,4.700190,4.700190,37283
2021-09-19,4.682196,4.766602,4.538740,4.564405,4.564405,31427
2021-09-20,4.564509,4.620724,3.935389,3.970500,3.970500,61013
2021-09-21,3.984449,4.168466,3.732083,3.807305,3.807305,32822
2021-09-22,3.818320,4.234851,3.807538,4.205040,4.205040,40886
2021-09-23,4.204614,4.637870,4.071476,4.387433,4.387433,70418
2021-09-24,4.398321,4.446782,3.915188,4.036509,4.036509,35536
2021-09-25,4.036290,4.157815,3.651018,3.909165,3.909165,45215
2021-09-26,3.908657,4.110655,3.512807,3.960226,3.960226,45461
2021-09-27,3.968305,4.301400,3.964013,4.106997,4.106997,69473
2021-09-28,4.107544,4.117225,3.807239,3.814659,3.814659,38292
2021-09-29,3.816037,3.950916,3.624084,3.689801,3.689801,16062
2021-09-30,3.692028,3.961817,3.583416,3.922951,3.922951,18468
2021-10-01,3.923781,4.374193,3.864675,4.374193,4.374193,132277
2021-10-02,4.374032,4.656755,4.249775,4.445848,4.445848,59380
2021-10-03,4.442560,4.653704,4.233304,4.339929,4.339929,26818
2021-10-04,4.340490,4.493912,4.062595,4.341867,4.341867,11278
2021-10-05,4.342081,4.643893,4.289539,4.603720,4.603720,22900
2021-10-06,4.580223,4.926414,4.424606,4.637975,4.637975,13651
2021-10-07,4.635379,4.743790,4.221709,4.545019,4.545019,2298
2021-10-08,4.542499,4.718144,4.353299,4.428780,4.428780,5918
2021-10-09,4.430180,4.816691,4.305829,4.806842,4.806842,62107
2021-10-10,4.805140,5.237255,4.449172,4.494659,4.494659,28545
2021-10-11,4.492072,4.759970,4.472108,4.587047,4.587047,17287
2021-10-12,4.569032,4.613645,4.372483,4.506103,4.506103,22320
2021-10-13,4.504437,4.606958,4.359589,4.606958,4.606958,21106
2021-10-14,4.606771,4.945764,4.592330,4.832066,4.832066,22223
2021-10-15,4.829985,5.241986,4.750292,5.136456,5.136456,70953
2021-10-16,5.165674,5.492178,5.099235,5.288808,5.288808,31931
2021-10-17,5.288553,5.702754,4.932422,5.140856,5.140856,59021
2021-10-18,5.140119,5.235809,4.987607,5.092866,5.092866,46964
2021-10-19,5.092811,5.279562,4.954073,5.118020,5.118020,34642
2021-10-20,5.118611,6.130953,5.016551,5.259425,5.259425,151116
2021-10-21,5.260141,5.418897,5.149313,5.324477,5.324477,58839
2021-10-22,5.317922,5.416196,4.982465,5.221927,5.221927,105831
2021-10-23,5.220997,5.329876,5.092093,5.218596,5.218596,83672
2021-10-24,5.221081,5.355685,4.980723,5.132901,5.132901,108881
2021-10-25,5.155594,5.429333,5.100355,5.380660,5.380660,97140
2021-10-26,5.381836,5.513549,5.235644,5.268561,5.268561,82605
2021-10-27,5.275146,5.434041,5.108706,5.202265,5.202265,109979
2021-10-28,5.194153,5.566802,5.155647,5.420351,5.420351,77092
2021-10-29,5.420004,6.320112,5.401803,5.805946,5.805946,321230
2021-10-30,5.808998,6.097853,5.453641,5.554192,5.554192,172613
2021-10-31,5.559949,7.043088,5.559949,5.888161,5.888161,236819
2021-11-01,5.889305,6.277589,5.716174,5.755139,5.755139,482101
2021-11-02,5.752851,6.059246,5.714343,6.050214,6.050214,97445
2021-11-03,6.036418,6.112895,5.640337,6.064450,6.064450,109203
2021-11-04,6.069177,6.112635,5.759679,5.910971,5.910971,54098
2021-11-05,5.898376,5.916501,5.485994,5.738642,5.738642,111412
2021-11-06,5.736577,5.905304,5.489840,5.905304,5.905304,84456
2021-11-07,5.900439,6.124595,5.813711,6.104558,6.104558,126413
2021-11-08,6.108019,6.433068,6.047196,6.145035,6.145035,100516
2021-11-09,6.145045,6.386860,5.935267,6.181911,6.181911,163085
2021-11-10,6.210312,6.500035,5.810393,6.135114,6.135114,197235
2021-11-11,6.138704,6.257016,5.990288,6.063652,6.063652,70983
2021-11-12,6.065514,6.110941,5.827735,5.924077,5.924077,75477
2021-11-13,5.921971,6.039959,5.825142,5.890216,5.890216,66367
2021-11-14,5.894246,5.954281,5.718016,5.888066,5.888066,71710
2021-11-15,5.893261,6.003428,5.743351,5.840328,5.840328,93747
2021-11-16,5.852745,5.872752,5.190587,5.567195,5.567195,371721
2021-11-17,5.561054,7.664375,5.254549,5.415833,5.415833,92934
2021-11-18,5.406016,5.684767,5.262898,5.370978,5.370978,297575
2021-11-19,5.374796,5.511043,5.299343,5.409330,5.409330,67384
2021-11-20,5.408560,5.693401,5.310061,5.614078,5.614078,81792
2021-11-21,5.609830,5.672483,5.508478,5.534449,5.534449,101874
2021-11-22,5.546048,5.614338,5.357353,5.383346,5.383346,160463
2021-11-23,5.377909,10.359392,5.258397,5.598733,5.598733,417444
2021-11-24,5.593288,5.612241,5.320574,5.512866,5.512866,404582
2021-11-25,5.387158,7.083105,5.255314,5.399428,5.399428,111182
2021-11-26,5.681080,5.737321,5.160153,5.421101,5.421101,470437
2021-11-27,5.412736,5.478653,5.192934,5.233849,5.233849,137861
2021-11-28,5.242275,5.399250,5.068729,5.391819,5.391819,126001
2021-11-29,5.391110,5.519447,5.285144,5.472757,5.472757,114425
2021-11-30,5.479668,5.922382,5.425376,5.879401,5.879401,124530
2021-12-01,5.861903,6.254280,5.835190,6.001302,6.001302,124404
2021-12-02,6.005202,6.021823,5.584555,5.820840,5.820840,162221
2021-12-03,5.845309,5.885906,5.304088,5.373172,5.373172,138347
2021-12-04,5.377343,5.391403,4.524014,5.091419,5.091419,96351
2021-12-05,5.092485,5.403273,5.036567,5.223771,5.223771,91212
2021-12-06,5.222796,5.494239,4.885208,5.494239,5.494239,145254
2021-12-07,5.494947,5.647270,5.421772,5.568289,5.568289,144911
2021-12-08,5.568002,5.616194,5.332599,5.518008,5.518008,100826
2021-12-09,5.510213,5.554138,5.161899,5.215892,5.215892,98709
2021-12-10,5.214582,5.393126,5.077743,5.081846,5.081846,122416
2021-12-11,5.077283,5.307471,5.013941,5.271961,5.271961,86954
2021-12-12,5.267796,5.349597,5.048257,5.257305,5.257305,118138
2021-12-13,5.255629,5.315261,4.711824,4.821739,4.821739,107532
2021-12-14,4.818793,4.889021,4.524258,4.554991,4.554991,132403
2021-12-15,4.814418,5.037303,4.646756,5.037303,5.037303,119496
2021-12-16,5.047086,5.280336,4.987687,5.021153,5.021153,77255
2021-12-17,5.031155,5.079167,4.725857,4.844641,4.844641,125620
2021-12-18,4.843227,5.098487,4.752330,5.065656,5.065656,114667
2021-12-19,5.066206,5.143557,4.878086,4.941896,4.941896,95880
2021-12-20,4.947538,5.002388,4.714462,4.902842,4.902842,111589
2021-12-21,4.903710,5.108988,4.879331,5.008956,5.008956,76798
2021-12-22,5.010217,5.150680,4.923513,4.957065,4.957065,59622
2021-12-23,4.958022,5.160643,4.798850,5.095631,5.095631,44491
2021-12-24,5.089664,5.274617,4.997571,5.086972,5.086972,30708
2021-12-25,5.085728,5.129776,4.851482,4.929963,4.929963,47590
2021-12-26,4.924120,5.301600,4.800239,5.149690,5.149690,75048
2021-12-27,5.149692,5.348996,5.004278,5.095162,5.095162,42230
2021-12-28,5.089760,5.128962,4.763696,4.802504,4.802504,39749
2021-12-29,4.790445,5.278014,4.669325,4.772758,4.772758,33901
2021-12-30,4.756596,5.047991,4.701114,4.853628,4.853628,48834
2021-12-31,4.852760,4.904151,4.655957,4.728262,4.728262,65334
2022-01-01,4.726957,4.866249,4.717196,4.826070,4.826070,47370
2022-01-02,4.828685,4.912173,4.745493,4.853177,4.853177,51736
2022-01-03,4.843171,4.919799,4.765838,4.795490,4.795490,44222
2022-01-04,4.796713,4.919424,4.652621,4.816406,4.816406,106583
2022-01-05,4.816378,4.854684,4.321461,4.328546,4.328546,54402
2022-01-06,4.327568,4.472234,4.115911,4.177498,4.177498,235107
2022-01-07,4.177331,4.188901,3.893352,3.966204,3.966204,41885
2022-01-08,3.966343,4.118946,3.860330,3.920333,3.920333,41704
2022-01-09,3.924183,3.999034,3.898071,3.953072,3.953072,38001
