Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.150261,0.156377,0.140692,0.141530,0.141530,163106
2021-08-23,0.141484,0.164125,0.138227,0.142494,0.142494,1182825
2021-08-24,0.142515,0.147763,0.132332,0.133315,0.133315,46443
2021-08-25,0.133244,0.137605,0.117983,0.137019,0.137019,358526
2021-08-26,0.137029,0.137314,0.098969,0.106092,0.106092,1316174
2021-08-27,0.106121,0.128734,0.104774,0.126399,0.126399,209080
2021-08-28,0.126399,0.126852,0.104297,0.112794,0.112794,54978
2021-08-29,0.112794,0.114733,0.108383,0.109830,0.109830,33822
2021-08-30,0.109811,0.118834,0.105084,0.116234,0.116234,98263
2021-08-31,0.116177,0.137532,0.115042,0.136913,0.136913,107267
2021-09-01,0.136900,0.156929,0.135323,0.145834,0.145834,179616
2021-09-02,0.145834,0.167606,0.144896,0.159415,0.159415,219971
2021-09-03,0.159360,0.165710,0.139551,0.151495,0.151495,154062
2021-09-04,0.151458,0.153239,0.141602,0.142008,0.142008,47177
2021-09-05,0.142064,0.143334,0.134838,0.138589,0.138589,46630
2021-09-06,0.138611,0.138851,0.134070,0.135241,0.135241,20509
2021-09-07,0.135202,0.137540,0.102015,0.110144,0.110144,202671
2021-09-08,0.110243,0.118403,0.107377,0.116478,0.116478,19457
2021-09-09,0.130557,0.160556,0.114919,0.126705,0.126705,126736
2021-09-10,0.126699,0.129466,0.108342,0.108382,0.108382,68757
2021-09-11,0.108394,0.117652,0.106794,0.114750,0.114750,35369
2021-09-12,0.114714,0.120502,0.113044,0.115960,0.115960,24323
2021-09-13,0.115940,0.155864,0.101199,0.148709,0.148709,604614
2021-09-14,0.148712,0.151651,0.128550,0.144115,0.144115,464321
2021-09-15,0.144154,0.152111,0.139480,0.147473,0.147473,98510
2021-09-16,0.147522,0.166867,0.134534,0.151488,0.151488,495036
2021-09-17,0.151372,0.160113,0.141593,0.152052,0.152052,193504
2021-09-18,0.152148,0.189238,0.151876,0.189167,0.189167,328776
2021-09-19,0.189256,0.375859,0.188868,0.326420,0.326420,2962008
2021-09-20,0.326438,0.358428,0.238175,0.255454,0.255454,1637099
2021-09-21,0.255223,0.437777,0.223855,0.367339,0.367339,2723692
2021-09-22,0.367337,0.413375,0.342450,0.386757,0.386757,1629317
2021-09-23,0.386578,0.405624,0.324699,0.358517,0.358517,578565
2021-09-24,0.358555,0.384776,0.292476,0.374575,0.374575,442470
2021-09-25,0.374701,0.381381,0.313686,0.356801,0.356801,537921
2021-09-26,0.356737,0.370528,0.329617,0.352973,0.352973,249430
2021-09-27,0.352769,0.382468,0.327408,0.343702,0.343702,366370
2021-09-28,0.343727,0.344522,0.288653,0.308337,0.308337,311880
2021-09-29,0.307954,0.329320,0.265728,0.273256,0.273256,604189
2021-09-30,0.272959,0.308268,0.272094,0.292009,0.292009,373816
2021-10-01,0.292013,0.349516,0.290999,0.349516,0.349516,170869
2021-10-02,0.349541,0.349680,0.313801,0.318519,0.318519,140551
2021-10-03,0.318055,0.323140,0.303960,0.312339,0.312339,169392
2021-10-04,0.312471,0.345584,0.306435,0.319043,0.319043,592739
2021-10-05,0.319122,0.330772,0.302297,0.315535,0.315535,311011
2021-10-06,0.315021,0.321609,0.295646,0.307319,0.307319,373421
2021-10-07,0.307504,0.307504,0.272392,0.275329,0.275329,105493
2021-10-08,0.274992,0.300075,0.261521,0.286559,0.286559,153874
2021-10-09,0.286464,0.307925,0.284497,0.289805,0.289805,155768
2021-10-10,0.289492,0.299253,0.256489,0.292048,0.292048,166928
2021-10-11,0.291780,0.296981,0.233917,0.244896,0.244896,231716
2021-10-12,0.244737,0.245505,0.196911,0.237470,0.237470,297538
2021-10-13,0.237561,0.248077,0.221055,0.245766,0.245766,88719
2021-10-14,0.245927,0.298222,0.244689,0.270205,0.270205,407010
2021-10-15,0.269883,0.318765,0.267716,0.294687,0.294687,344580
2021-10-16,0.295091,0.295365,0.245570,0.257918,0.257918,234777
2021-10-17,0.257911,0.270870,0.244441,0.253234,0.253234,319363
2021-10-18,0.253468,0.258727,0.243439,0.250306,0.250306,76647
2021-10-19,0.250324,0.275557,0.247359,0.274427,0.274427,95935
2021-10-20,0.273151,0.284927,0.244324,0.282452,0.282452,164928
2021-10-21,0.281964,0.308322,0.280462,0.293256,0.293256,264018
2021-10-22,0.292945,0.300498,0.257633,0.266423,0.266423,175818
2021-10-23,0.266613,0.309138,0.265816,0.305380,0.305380,297282
2021-10-24,0.305670,0.309893,0.257709,0.265093,0.265093,140948
2021-10-25,0.264683,0.281209,0.256629,0.257123,0.257123,236418
2021-10-26,0.257624,0.284490,0.247779,0.267906,0.267906,366314
2021-10-27,0.267770,0.277930,0.252471,0.261688,0.261688,78438
2021-10-28,0.262047,0.302830,0.259820,0.297696,0.297696,238935
2021-10-29,0.298012,0.299461,0.272016,0.273961,0.273961,167811
2021-10-30,0.274173,0.283163,0.231189,0.237839,0.237839,215208
2021-10-31,0.238741,0.245707,0.234597,0.240254,0.240254,84786
2021-11-01,0.239815,0.242748,0.216623,0.230209,0.230209,187409
2021-11-02,0.230432,0.248740,0.228679,0.247336,0.247336,77107
2021-11-03,0.247457,0.251502,0.212334,0.213944,0.213944,150804
2021-11-04,0.213757,0.216466,0.205533,0.213390,0.213390,93127
2021-11-05,0.213103,0.220501,0.208453,0.216677,0.216677,43536
2021-11-06,0.216875,0.240082,0.214763,0.231285,0.231285,120748
2021-11-07,0.231491,0.250108,0.200855,0.247396,0.247396,286656
2021-11-08,0.247129,0.254073,0.234706,0.244239,0.244239,279568
2021-11-09,0.244640,0.253899,0.231720,0.252183,0.252183,124202
2021-11-10,0.252156,0.256074,0.223858,0.225128,0.225128,119530
2021-11-11,0.225290,0.227693,0.201751,0.221858,0.221858,337424
2021-11-12,0.222055,0.231504,0.214753,0.222652,0.222652,332697
2021-11-13,0.222607,0.232371,0.195280,0.206867,0.206867,176969
2021-11-14,0.207461,0.241265,0.204042,0.233382,0.233382,392795
2021-11-15,0.233187,0.270438,0.233187,0.236294,0.236294,136292
2021-11-16,0.236128,1.754828,0.000000,0.227138,0.227138,148757
2021-11-17,0.227080,0.396190,0.000000,0.213218,0.213218,174460
2021-11-18,0.213314,0.219454,0.189373,0.206016,0.206016,279292
2021-11-19,0.206088,0.265708,0.189190,0.200249,0.200249,495625
2021-11-20,0.200326,0.235562,0.199155,0.235103,0.235103,209300
2021-11-21,0.235036,0.236153,0.207414,0.216456,0.216456,151601
2021-11-22,0.216378,0.216378,0.194515,0.213832,0.213832,142171
2021-11-23,0.213829,0.219763,0.187282,0.208520,0.208520,203067
2021-11-24,0.208615,0.209013,0.183838,0.206630,0.206630,217514
2021-11-25,0.190659,0.197958,0.186576,0.187988,0.187988,132160
2021-11-26,0.193507,0.194249,0.150553,0.168865,0.168865,224332
2021-11-27,0.168677,0.178146,0.160788,0.163307,0.163307,120161
2021-11-28,0.163391,0.164622,0.137622,0.159683,0.159683,272171
2021-11-29,0.159666,0.166742,0.155089,0.158233,0.158233,113590
2021-11-30,0.158226,0.185488,0.158153,0.167967,0.167967,164154
2021-12-01,0.167896,0.173719,0.159899,0.161695,0.161695,89719
2021-12-02,0.161699,0.207615,0.160983,0.207092,0.207092,187718
2021-12-03,0.207004,0.209488,0.178369,0.182898,0.182898,115460
2021-12-04,0.182885,0.182885,0.152775,0.172719,0.172719,167879
2021-12-05,0.172661,0.180738,0.166327,0.166862,0.166862,43173
2021-12-06,0.166930,0.179722,0.147440,0.179368,0.179368,118701
2021-12-07,0.179528,0.181073,0.156074,0.157002,0.157002,66165
2021-12-08,0.157008,0.161573,0.154751,0.157391,0.157391,23990
2021-12-09,0.157439,0.159259,0.149706,0.153616,0.153616,71737
2021-12-10,0.153524,0.154577,0.125558,0.133024,0.133024,386958
2021-12-11,0.132987,0.145505,0.130413,0.144373,0.144373,55329
2021-12-12,0.144353,0.144370,0.135075,0.142507,0.142507,49564
2021-12-13,0.142516,0.142675,0.113358,0.124034,0.124034,156519
2021-12-14,0.123998,0.130074,0.112317,0.125031,0.125031,226908
2021-12-15,0.130096,0.135884,0.123827,0.135104,0.135104,57728
2021-12-16,0.135092,0.141770,0.131690,0.131952,0.131952,79747
2021-12-17,0.131942,0.135832,0.127438,0.129331,0.129331,43884
2021-12-18,0.129349,0.132828,0.122274,0.125295,0.125295,48494
2021-12-19,0.125293,0.126708,0.120076,0.124648,0.124648,30356
2021-12-20,0.124633,0.133210,0.123074,0.124449,0.124449,43334
2021-12-21,0.124423,0.125264,0.110916,0.123972,0.123972,118426
2021-12-22,0.124078,0.124117,0.117330,0.118368,0.118368,62263
2021-12-23,0.118258,0.130623,0.111490,0.130623,0.130623,72102
2021-12-24,0.130578,0.134728,0.124067,0.124742,0.124742,47572
2021-12-25,0.124853,0.133709,0.117674,0.124152,0.124152,129305
2021-12-26,0.123693,0.124707,0.120152,0.122876,0.122876,37900
2021-12-27,0.122890,0.123403,0.117402,0.123050,0.123050,63880
2021-12-28,0.123048,0.123190,0.112003,0.117360,0.117360,37736
2021-12-29,0.117349,0.118094,0.101110,0.101261,0.101261,147354
2021-12-30,0.101182,0.126288,0.096272,0.126242,0.126242,114445
2021-12-31,0.126273,0.156345,0.125728,0.134817,0.134817,247820
2022-01-01,0.134817,0.138191,0.129385,0.136793,0.136793,51665
2022-01-02,0.136793,0.144718,0.130837,0.144479,0.144479,42698
2022-01-03,0.144479,0.144526,0.129270,0.131741,0.131741,47873
2022-01-04,0.131741,0.136222,0.129628,0.132853,0.132853,11033
2022-01-05,0.132853,0.132979,0.117002,0.120501,0.120501,26060
2022-01-06,0.120501,0.122136,0.113277,0.119996,0.119996,56988
2022-01-07,0.119996,0.154780,0.110293,0.152347,0.152347,248196
2022-01-08,0.152347,0.152998,0.131634,0.137315,0.137315,53808
2022-01-09,0.137315,0.151827,0.136227,0.145161,0.145161,55976
2022-01-10,0.145161,0.149356,0.113675,0.115677,0.115677,188024
2022-01-11,0.115677,0.138741,0.114046,0.135481,0.135481,76956
2022-01-12,0.135481,0.135775,0.104876,0.124350,0.124350,182453
2022-01-13,0.124350,0.128455,0.113956,0.118435,0.118435,76026
2022-01-14,0.118435,0.126256,0.115340,0.120339,0.120339,107785
2022-01-15,0.120339,0.125134,0.118247,0.124737,0.124737,17480
2022-01-16,0.124737,0.125739,0.108138,0.125657,0.125657,156735
2022-01-17,0.125656,0.125667,0.113326,0.116938,0.116938,44271
2022-01-18,0.116938,0.130599,0.114239,0.126339,0.126339,107343
2022-01-19,0.126339,0.143113,0.123310,0.132152,0.132152,294919
2022-01-20,0.132152,0.163092,0.132032,0.133169,0.133169,202317
2022-01-21,0.133162,0.138863,0.111835,0.114341,0.114341,228045
2022-01-22,0.114341,0.122126,0.102102,0.115394,0.115394,93378
2022-01-23,0.115394,0.127233,0.115394,0.123923,0.123923,41663
2022-01-24,0.123923,0.123923,0.091375,0.115289,0.115289,211290
2022-01-25,0.115289,0.115546,0.102416,0.106982,0.106982,81486
2022-01-26,0.106982,0.112691,0.093799,0.101213,0.101213,99722
2022-01-27,0.101213,0.110174,0.091793,0.095269,0.095269,54482
2022-01-28,0.095270,0.097391,0.090817,0.093712,0.093712,30372
2022-01-29,0.093667,0.103336,0.093655,0.100877,0.100877,28233
2022-01-30,0.100877,0.107420,0.100877,0.103294,0.103294,46840
2022-01-31,0.103293,0.109580,0.099590,0.109311,0.109311,29694
2022-02-01,0.109311,0.136599,0.109265,0.122000,0.122000,95405
2022-02-02,0.122000,0.122014,0.102986,0.108878,0.108878,80430
2022-02-03,0.108878,0.110244,0.101453,0.101914,0.101914,16200
2022-02-04,0.101915,0.116190,0.101915,0.116190,0.116190,51978
2022-02-05,0.116191,0.124548,0.096907,0.101082,0.101082,79009
2022-02-06,0.101081,0.103887,0.093840,0.096503,0.096503,69980
2022-02-07,0.096505,0.110539,0.094159,0.100423,0.100423,109398
2022-02-08,0.100423,0.100679,0.089846,0.098126,0.098126,100596
2022-02-09,0.098126,0.101813,0.097594,0.100843,0.100843,26903
2022-02-10,0.100843,0.109801,0.099951,0.100213,0.100213,54014
2022-02-11,0.100210,0.100574,0.090828,0.091048,0.091048,41018
2022-02-12,0.091047,0.097935,0.090909,0.094642,0.094642,30080
2022-02-13,0.094658,0.096861,0.086273,0.090921,0.090921,88181
2022-02-14,0.090921,0.098781,0.087021,0.098638,0.098638,42041
2022-02-15,0.098638,0.101358,0.095582,0.097578,0.097578,44987
2022-02-16,0.097575,0.097578,0.080504,0.090444,0.090444,63961
2022-02-17,0.090441,0.100183,0.078558,0.088866,0.088866,197792
2022-02-18,0.088866,0.089875,0.083925,0.085023,0.085023,15652
2022-02-19,0.085023,0.089966,0.084080,0.089955,0.089955,59494
2022-02-20,0.089955,0.089959,0.072396,0.077307,0.077307,167539
2022-02-21,0.077306,0.080920,0.075616,0.077080,0.077080,23553
2022-02-22,0.077079,0.084729,0.074774,0.083106,0.083106,90155
2022-02-23,0.083104,0.083237,0.080036,0.080112,0.080112,11751
2022-02-24,0.080113,0.083312,0.072943,0.079953,0.079953,63206
2022-02-25,0.079954,0.081196,0.076361,0.077762,0.077762,14858
2022-02-26,0.077763,0.080358,0.077763,0.078145,0.078145,52098
2022-02-27,0.078145,0.079152,0.068267,0.068781,0.068781,98483
2022-02-28,0.068781,0.074149,0.068388,0.071932,0.071932,258243
2022-03-01,0.071933,0.074643,0.066161,0.074643,0.074643,124482
2022-03-02,0.074643,0.074669,0.064822,0.067660,0.067660,33735
2022-03-03,0.067660,0.068350,0.059004,0.059263,0.059263,54302
2022-03-04,0.059263,0.061575,0.055927,0.059356,0.059356,42930
2022-03-05,0.059358,0.061653,0.052922,0.061568,0.061568,62100
