Date,Open,High,Low,Close,Adj Close,Volume
2022-07-07,5.004002,5.004002,0.136185,0.156341,0.156341,13921493
2022-07-08,0.156334,0.156802,0.105767,0.108814,0.108814,10622795
2022-07-09,0.108814,0.110575,0.086367,0.090354,0.090354,5763574
2022-07-10,0.090353,0.090821,0.074937,0.074996,0.074996,6087915
2022-07-11,0.074998,0.096164,0.069694,0.076005,0.076005,9302128
2022-07-12,0.075986,0.083483,0.073294,0.073846,0.073846,6314270
2022-07-13,0.073834,0.079881,0.072134,0.077335,0.077335,7196434
2022-07-14,0.077417,0.081668,0.072701,0.076162,0.076162,9985221
2022-07-15,0.076152,0.081599,0.074030,0.074030,0.074030,3141454
2022-07-16,0.074030,0.075173,0.065429,0.068995,0.068995,3459147
2022-07-17,0.068995,0.074014,0.067900,0.068781,0.068781,3191638
2022-07-18,0.068761,0.070378,0.062544,0.063266,0.063266,2966920
2022-07-19,0.063277,0.063400,0.055810,0.059884,0.059884,2797813
2022-07-20,0.059893,0.066067,0.058993,0.062187,0.062187,2302861
2022-07-21,0.062164,0.062489,0.053954,0.059933,0.059933,1839834
2022-07-22,0.059934,0.063984,0.058337,0.058590,0.058590,3232393
2022-07-23,0.058586,0.060032,0.057526,0.059337,0.059337,2326236
2022-07-24,0.059332,0.061622,0.058737,0.060578,0.060578,2506643
2022-07-25,0.060578,0.060835,0.058410,0.058659,0.058659,3240565
2022-07-26,0.058659,0.060499,0.056981,0.060108,0.060108,2938002
2022-07-27,0.060108,0.061320,0.058971,0.060678,0.060678,3619954
2022-07-28,0.060678,0.060694,0.058668,0.060303,0.060303,3562397
2022-07-29,0.060303,0.062360,0.057899,0.059445,0.059445,4565719
2022-07-30,0.059445,0.061377,0.058758,0.058880,0.058880,3444643
2022-07-31,0.058880,0.060087,0.058549,0.059419,0.059419,3534010
2022-08-01,0.059419,0.065593,0.058074,0.058192,0.058192,4457989
2022-08-02,0.058196,0.071813,0.053679,0.066400,0.066400,5539187
2022-08-03,0.066386,0.073354,0.064332,0.065623,0.065623,3495496
2022-08-04,0.065633,0.068857,0.054844,0.055363,0.055363,3870739
2022-08-05,0.055394,0.056311,0.051728,0.052173,0.052173,2812615
2022-08-06,0.052190,0.054049,0.050827,0.051345,0.051345,2348835
2022-08-07,0.051346,0.057910,0.050240,0.054948,0.054948,3209169
2022-08-08,0.054951,0.056905,0.053565,0.054856,0.054856,1608613
2022-08-09,0.054819,0.054934,0.049866,0.050097,0.050097,1210924
2022-08-10,0.050097,0.050912,0.047228,0.047775,0.047775,1685792
2022-08-11,0.047775,0.049245,0.046883,0.047992,0.047992,1324528
2022-08-12,0.047992,0.048113,0.043885,0.047769,0.047769,1849896
2022-08-13,0.047760,0.048274,0.043769,0.045211,0.045211,1065926
2022-08-14,0.045211,0.045901,0.042878,0.043904,0.043904,1513057
2022-08-15,0.043904,0.045873,0.043589,0.045366,0.045366,1373466
2022-08-16,0.045366,0.045844,0.043881,0.044415,0.044415,1438352
2022-08-17,0.044415,0.044433,0.041326,0.041760,0.041760,970874
2022-08-18,0.041762,0.043140,0.040522,0.042566,0.042566,1966952
2022-08-19,0.042545,0.042545,0.035942,0.036896,0.036896,2175464
2022-08-20,0.036897,0.039724,0.036663,0.038551,0.038551,1721259
2022-08-21,0.038544,0.039178,0.037509,0.038042,0.038042,1282211
2022-08-22,0.038043,0.039140,0.037804,0.039110,0.039110,948324
2022-08-23,0.039109,0.041326,0.038311,0.039175,0.039175,1450359
2022-08-24,0.039177,0.039222,0.035914,0.036058,0.036058,1086539
2022-08-25,0.036058,0.036733,0.031946,0.032332,0.032332,1441174
2022-08-26,0.032331,0.037267,0.031364,0.034462,0.034462,1533906
2022-08-27,0.034463,0.034607,0.032099,0.032170,0.032170,1228815
2022-08-28,0.032160,0.032528,0.031769,0.032054,0.032054,1171494
2022-08-29,0.032048,0.032127,0.030143,0.031529,0.031529,1116950
2022-08-30,0.031524,0.031539,0.029555,0.029790,0.029790,1473513
2022-08-31,0.029799,0.030116,0.029452,0.029935,0.029935,902838
2022-09-01,0.029935,0.029954,0.028936,0.029051,0.029051,751754
2022-09-02,0.029051,0.029413,0.028429,0.028430,0.028430,904561
2022-09-03,0.028429,0.028731,0.028084,0.028109,0.028109,817123
2022-09-04,0.028110,0.029616,0.028043,0.029022,0.029022,760328
2022-09-05,0.029023,0.029231,0.028039,0.028255,0.028255,791165
2022-09-06,0.028256,0.031301,0.028140,0.029331,0.029331,1095144
2022-09-07,0.029330,0.029366,0.028183,0.028531,0.028531,990138
2022-09-08,0.028531,0.029181,0.028101,0.028146,0.028146,1674335
2022-09-09,0.028151,0.030244,0.027821,0.028841,0.028841,1848629
2022-09-10,0.028845,0.030703,0.028845,0.030433,0.030433,881290
2022-09-11,0.030432,0.032499,0.030283,0.031560,0.031560,913267
2022-09-12,0.031563,0.032236,0.031228,0.031873,0.031873,757585
2022-09-13,0.031871,0.037574,0.031771,0.035993,0.035993,1573947
2022-09-14,0.035196,0.036622,0.031440,0.031547,0.031547,1040613
2022-09-15,0.031559,0.032231,0.030256,0.032020,0.032020,1290653
2022-09-16,0.032020,0.032606,0.030440,0.030459,0.030459,941789
2022-09-17,0.030451,0.031112,0.030416,0.030874,0.030874,919019
2022-09-18,0.030881,0.031945,0.030670,0.031216,0.031216,924717
2022-09-19,0.031217,0.031225,0.029904,0.030621,0.030621,1175945
2022-09-20,0.030630,0.031517,0.030488,0.031016,0.031016,931316
2022-09-21,0.031017,0.031970,0.030889,0.031664,0.031664,1000756
2022-09-22,0.031659,0.031771,0.030955,0.031107,0.031107,972621
2022-09-23,0.031107,0.031688,0.030980,0.031118,0.031118,966884
2022-09-24,0.031118,0.031604,0.031075,0.031379,0.031379,911427
2022-09-25,0.031379,0.031601,0.031174,0.031233,0.031233,878110
2022-09-26,0.031223,0.032170,0.031068,0.032058,0.032058,994697
2022-09-27,0.032060,0.032432,0.031691,0.031839,0.031839,949232
2022-09-28,0.031844,0.031989,0.031293,0.031695,0.031695,1006030
