Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.391589,0.514625,0.389813,0.471752,0.471752,247269320
2021-08-23,0.472151,0.472934,0.426212,0.445881,0.445881,113920921
2021-08-24,0.445102,0.445102,0.400946,0.405853,0.405853,63513256
2021-08-25,0.405861,0.417912,0.393157,0.409467,0.409467,52295767
2021-08-26,0.409473,0.423994,0.377540,0.389092,0.389092,57168516
2021-08-27,0.386406,0.436038,0.374459,0.418059,0.418059,77575631
2021-08-28,0.418748,0.427665,0.405757,0.411477,0.411477,57125719
2021-08-29,0.414106,0.493381,0.401774,0.430547,0.430547,126203034
2021-08-30,0.430577,0.463610,0.416375,0.418932,0.418932,81324572
2021-08-31,0.418775,0.421628,0.401749,0.402134,0.402134,57713613
2021-09-01,0.402102,0.419151,0.393609,0.413919,0.413919,52528276
2021-09-02,0.413912,0.457145,0.407517,0.435396,0.435396,69088339
2021-09-03,0.435140,0.446860,0.419314,0.422462,0.422462,77113767
2021-09-04,0.422113,0.442748,0.419817,0.432579,0.432579,50161987
2021-09-05,0.432015,0.459892,0.429827,0.452146,0.452146,73132758
2021-09-06,0.453203,0.468800,0.439062,0.463602,0.463602,66755337
2021-09-07,0.464483,0.490228,0.349909,0.376936,0.376936,92743099
2021-09-08,0.377486,0.397162,0.341039,0.378062,0.378062,69714965
2021-09-09,0.367756,0.397469,0.366382,0.387870,0.387870,65585006
2021-09-10,0.387863,0.394254,0.357210,0.367017,0.367017,45923972
2021-09-11,0.367055,0.393007,0.356925,0.375401,0.375401,48204459
2021-09-12,0.375201,0.392786,0.363601,0.381902,0.381902,46062832
2021-09-13,0.381908,0.382560,0.350976,0.363785,0.363785,44220351
2021-09-14,0.365547,0.377835,0.361618,0.370280,0.370280,38823852
2021-09-15,0.369940,0.388712,0.367341,0.385693,0.385693,42615671
2021-09-16,0.385911,0.394819,0.370361,0.375074,0.375074,40725787
2021-09-17,0.374510,0.380978,0.357569,0.359328,0.359328,40255280
2021-09-18,0.359356,0.413164,0.357811,0.376304,0.376304,58797704
2021-09-19,0.377780,0.395265,0.363106,0.367725,0.367725,49303915
2021-09-20,0.367763,0.371065,0.313922,0.335607,0.335607,64151803
2021-09-21,0.335549,0.374455,0.312834,0.315040,0.315040,65557545
2021-09-22,0.314982,0.357567,0.312956,0.351460,0.351460,51578464
2021-09-23,0.350548,0.355019,0.342106,0.350612,0.350612,45830263
2021-09-24,0.350600,0.352992,0.306566,0.321739,0.321739,51460492
2021-09-25,0.321741,0.325848,0.311671,0.318965,0.318965,47226363
2021-09-26,0.318967,0.327957,0.297026,0.318591,0.318591,47713737
2021-09-27,0.319572,0.326189,0.308150,0.308975,0.308975,44141908
2021-09-28,0.308978,0.319851,0.287430,0.287936,0.287936,47810725
2021-09-29,0.288354,0.307743,0.284752,0.294692,0.294692,46805068
2021-09-30,0.294695,0.301876,0.292146,0.298436,0.298436,48433956
2021-10-01,0.298439,0.322782,0.297164,0.320143,0.320143,44785550
2021-10-02,0.320155,0.347028,0.316860,0.331955,0.331955,54213500
2021-10-03,0.331267,0.350478,0.325028,0.343645,0.343645,47614543
2021-10-04,0.343626,0.343740,0.328631,0.336054,0.336054,34990845
2021-10-05,0.337031,0.343223,0.332561,0.339183,0.339183,41458932
2021-10-06,0.340029,0.341693,0.319111,0.329143,0.329143,47653486
2021-10-07,0.329749,0.337839,0.318450,0.328488,0.328488,42566869
2021-10-08,0.328496,0.335940,0.325878,0.328380,0.328380,35347297
2021-10-09,0.328394,0.355397,0.325152,0.343967,0.343967,51644277
2021-10-10,0.343488,0.376354,0.335057,0.341334,0.341334,52987826
2021-10-11,0.341355,0.359698,0.335671,0.337127,0.337127,42784307
2021-10-12,0.337486,0.337486,0.313956,0.324897,0.324897,33449876
2021-10-13,0.324927,0.327353,0.313010,0.322930,0.322930,36221733
2021-10-14,0.322991,0.333291,0.322427,0.322672,0.322672,30742422
2021-10-15,0.323121,0.575938,0.319175,0.420435,0.420435,572250723
2021-10-16,0.419572,0.528734,0.397561,0.432027,0.432027,305736188
2021-10-17,0.432495,0.678271,0.430855,0.540786,0.540786,770998365
