Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.087101,0.088063,0.084935,0.085735,0.085735,382953
2021-08-23,0.085727,0.089270,0.085594,0.087671,0.087671,551862
2021-08-24,0.087682,0.089013,0.082153,0.082213,0.082213,552496
2021-08-25,0.082174,0.088674,0.082174,0.088465,0.088465,532336
2021-08-26,0.088464,0.088801,0.084094,0.084855,0.084855,513156
2021-08-27,0.084857,0.087205,0.084342,0.087110,0.087110,541783
2021-08-28,0.087147,0.087670,0.085067,0.085533,0.085533,578353
2021-08-29,0.085537,0.087469,0.084736,0.086942,0.086942,511672
2021-08-30,0.086948,0.087029,0.084279,0.084481,0.084481,475378
2021-08-31,0.084531,0.087881,0.084142,0.087689,0.087689,633344
2021-09-01,0.087646,0.090171,0.087162,0.090109,0.090109,492629
2021-09-02,0.090110,0.093103,0.087358,0.087435,0.087435,574533
2021-09-03,0.087419,0.093378,0.086675,0.092150,0.092150,527705
2021-09-04,0.092137,0.093394,0.091428,0.091833,0.091833,568850
2021-09-05,0.091825,0.094202,0.087966,0.089442,0.089442,582537
2021-09-06,0.089445,0.090824,0.087824,0.088474,0.088474,523412
2021-09-07,0.088464,0.088636,0.060498,0.060657,0.060657,447233
2021-09-08,0.060646,0.063529,0.055155,0.063137,0.063137,146479
2021-09-09,0.062982,0.063953,0.060113,0.062383,0.062383,345850
2021-09-10,0.062392,0.062813,0.050810,0.051093,0.051093,317638
2021-09-11,0.051102,0.052168,0.050380,0.050730,0.050730,320330
2021-09-12,0.050737,0.056381,0.050505,0.056059,0.056059,406110
2021-09-13,0.056057,0.056162,0.050936,0.051279,0.051279,442368
2021-09-14,0.051275,0.056492,0.051145,0.054908,0.054908,498834
2021-09-15,0.054917,0.055358,0.052610,0.055032,0.055032,424701
2021-09-16,0.055037,0.056501,0.051921,0.052896,0.052896,379010
2021-09-17,0.052902,0.056484,0.052742,0.053081,0.053081,402615
2021-09-18,0.053105,0.053817,0.050277,0.050501,0.050501,393145
2021-09-19,0.050517,0.050540,0.048438,0.048697,0.048697,374186
2021-09-20,0.048694,0.048726,0.043509,0.043655,0.043655,384249
2021-09-21,0.043634,0.043896,0.041751,0.042047,0.042047,433794
2021-09-22,0.042104,0.043951,0.041955,0.043748,0.043748,371996
2021-09-23,0.043744,0.045390,0.043516,0.045260,0.045260,596340
2021-09-24,0.045257,0.045306,0.041471,0.042557,0.042557,479736
2021-09-25,0.042555,0.042675,0.041685,0.042450,0.042450,417887
2021-09-26,0.042452,0.042471,0.040898,0.041144,0.041144,366410
2021-09-27,0.041135,0.041701,0.040449,0.040470,0.040470,543343
2021-09-28,0.040471,0.040790,0.039620,0.040024,0.040024,412774
2021-09-29,0.040049,0.040710,0.035473,0.035706,0.035706,489199
2021-09-30,0.035718,0.037264,0.035538,0.036938,0.036938,588508
2021-10-01,0.036943,0.039118,0.036756,0.038675,0.038675,557182
2021-10-02,0.038667,0.039597,0.038135,0.039191,0.039191,613756
2021-10-03,0.039180,0.039755,0.038720,0.039185,0.039185,629351
2021-10-04,0.039186,0.039211,0.037470,0.038356,0.038356,657765
2021-10-05,0.038357,0.038591,0.036496,0.037488,0.037488,618711
2021-10-06,0.037496,0.038106,0.035892,0.038050,0.038050,618042
2021-10-07,0.038037,0.038575,0.037236,0.037327,0.037327,605592
2021-10-08,0.037328,0.038934,0.037287,0.038361,0.038361,587365
2021-10-09,0.038366,0.040689,0.038297,0.040636,0.040636,595050
2021-10-10,0.040636,0.040984,0.039084,0.039466,0.039466,663980
2021-10-11,0.039455,0.040110,0.038317,0.038756,0.038756,619834
2021-10-12,0.038764,0.042545,0.037048,0.041326,0.041326,697243
2021-10-13,0.041321,0.042146,0.040689,0.042051,0.042051,633299
2021-10-14,0.042045,0.051567,0.041858,0.048668,0.048668,758042
2021-10-15,0.048685,0.073660,0.048467,0.067400,0.067400,1016705
2021-10-16,0.067380,0.067781,0.057934,0.061473,0.061473,883491
2021-10-17,0.061479,0.061938,0.060338,0.061113,0.061113,896048
2021-10-18,0.061112,0.061918,0.059477,0.060393,0.060393,936227
2021-10-19,0.060392,0.060880,0.057044,0.058918,0.058918,853928
2021-10-20,0.058922,0.062508,0.058602,0.061959,0.061959,896076
2021-10-21,0.061958,0.062670,0.060582,0.061036,0.061036,607027
2021-10-22,0.061033,0.062807,0.060262,0.060518,0.060518,549103
2021-10-23,0.060516,0.062218,0.059010,0.059248,0.059248,604993
2021-10-24,0.059257,0.059310,0.057448,0.058135,0.058135,554224
2021-10-25,0.058123,0.061182,0.058006,0.059923,0.059923,622012
2021-10-26,0.059928,0.064033,0.059321,0.059481,0.059481,617659
2021-10-27,0.059489,0.060407,0.054524,0.054899,0.054899,448936
2021-10-28,0.054879,0.059595,0.053856,0.057762,0.057762,567740
2021-10-29,0.057767,0.060177,0.057014,0.059740,0.059740,710095
2021-10-30,0.059731,0.059905,0.057363,0.059680,0.059680,650771
2021-10-31,0.059751,0.060109,0.054912,0.057638,0.057638,470485
2021-11-01,0.057638,0.060078,0.056168,0.057956,0.057956,638208
2021-11-02,0.057953,0.061348,0.057814,0.059527,0.059527,605877
2021-11-03,0.059534,0.060569,0.058556,0.059672,0.059672,716389
2021-11-04,0.059675,0.060078,0.057506,0.057947,0.057947,763327
2021-11-05,0.057934,0.059806,0.057655,0.058811,0.058811,697901
2021-11-06,0.058814,0.059563,0.057442,0.058141,0.058141,628360
2021-11-07,0.058141,0.060393,0.058114,0.060393,0.060393,567136
2021-11-08,0.060411,0.064016,0.060411,0.063692,0.063692,609274
2021-11-09,0.063687,0.065246,0.062528,0.063631,0.063631,520210
2021-11-10,0.063618,0.065888,0.062052,0.062805,0.062805,636738
2021-11-11,0.062840,0.062914,0.061524,0.062454,0.062454,719014
2021-11-12,0.062472,0.062721,0.059356,0.060927,0.060927,607432
2021-11-13,0.060921,0.061503,0.059695,0.060701,0.060701,658334
2021-11-14,0.060695,0.061575,0.058774,0.060445,0.060445,569917
2021-11-15,0.060451,0.062564,0.058499,0.058549,0.058549,662762
2021-11-16,0.058545,0.058852,0.054983,0.055555,0.055555,718580
2021-11-17,0.055462,0.058582,0.055061,0.056098,0.056098,635200
2021-11-18,0.056108,0.057086,0.054830,0.054988,0.054988,591376
2021-11-19,0.054993,0.057788,0.053550,0.057698,0.057698,649340
2021-11-20,0.057680,0.058478,0.055904,0.057433,0.057433,865213
2021-11-21,0.057437,0.057497,0.052841,0.052855,0.052855,930986
2021-11-22,0.052945,0.052949,0.048355,0.049728,0.049728,733516
2021-11-23,0.049707,0.050150,0.048471,0.049233,0.049233,816029
2021-11-24,0.049220,0.049364,0.046371,0.048731,0.048731,809480
2021-11-25,0.047045,0.048247,0.046755,0.047505,0.047505,656116
2021-11-26,0.047375,0.047871,0.043603,0.043835,0.043835,880574
2021-11-27,0.043820,0.044524,0.043454,0.043779,0.043779,803888
2021-11-28,0.043825,0.043849,0.041470,0.042992,0.042992,649810
2021-11-29,0.043000,0.044300,0.042764,0.043153,0.043153,685555
2021-11-30,0.043157,0.044015,0.042154,0.042602,0.042602,480571
2021-12-01,0.042600,0.044142,0.042480,0.043230,0.043230,669201
2021-12-02,0.043223,0.043432,0.040086,0.040584,0.040584,554731
2021-12-03,0.040591,0.041747,0.037206,0.037516,0.037516,79591
2021-12-04,0.037505,0.038475,0.031378,0.032934,0.032934,442414
2021-12-05,0.032936,0.033420,0.031794,0.032089,0.032089,514979
2021-12-06,0.032090,0.032790,0.029680,0.032694,0.032694,434034
2021-12-07,0.032717,0.034033,0.031995,0.032597,0.032597,412184
2021-12-08,0.032588,0.033538,0.031903,0.032821,0.032821,390583
2021-12-09,0.032793,0.032914,0.030989,0.031070,0.031070,366710
2021-12-10,0.031065,0.031845,0.030100,0.030686,0.030686,382087
2021-12-11,0.030670,0.031210,0.030283,0.031181,0.031181,337679
2021-12-12,0.031165,0.031242,0.030171,0.030674,0.030674,290099
2021-12-13,0.030687,0.030869,0.028455,0.028888,0.028888,406442
2021-12-14,0.028897,0.029716,0.027446,0.028577,0.028577,418285
2021-12-15,0.028397,0.029786,0.014749,0.029344,0.029344,384108
2021-12-16,0.029345,0.029516,0.028381,0.028857,0.028857,351307
2021-12-17,0.028864,0.030350,0.028461,0.029723,0.029723,278390
2021-12-18,0.029730,0.030140,0.028864,0.029436,0.029436,362087
2021-12-19,0.029436,0.029972,0.029011,0.029157,0.029157,436323
2021-12-20,0.029164,0.029348,0.026961,0.027993,0.027993,466360
2021-12-21,0.027983,0.029484,0.027438,0.029002,0.029002,349680
2021-12-22,0.029001,0.029355,0.028593,0.029023,0.029023,375992
2021-12-23,0.029027,0.029784,0.028139,0.029716,0.029716,552986
2021-12-24,0.029710,0.030472,0.029134,0.030185,0.030185,406703
2021-12-25,0.030173,0.030297,0.029641,0.030021,0.030021,441367
2021-12-26,0.030004,0.030187,0.029027,0.030056,0.030056,413596
2021-12-27,0.030057,0.030477,0.029488,0.029747,0.029747,520275
2021-12-28,0.029734,0.029767,0.027783,0.027977,0.027977,419171
2021-12-29,0.027948,0.028362,0.027445,0.027533,0.027533,466033
2021-12-30,0.027518,0.028001,0.026723,0.027468,0.027468,491071
2021-12-31,0.027468,0.028014,0.026831,0.027089,0.027089,472431
2022-01-01,0.027089,0.027678,0.026970,0.027607,0.027607,392561
2022-01-02,0.027607,0.027829,0.027171,0.027533,0.027533,455468
2022-01-03,0.027533,0.027702,0.026716,0.027089,0.027089,440011
2022-01-04,0.027089,0.027524,0.026771,0.026904,0.026904,492580
2022-01-05,0.026904,0.027461,0.025321,0.026182,0.026182,431705
2022-01-06,0.026182,0.026182,0.025005,0.025421,0.025421,451193
2022-01-07,0.025421,0.025714,0.024887,0.025395,0.025395,398969
2022-01-08,0.025395,0.025709,0.024748,0.025240,0.025240,429944
2022-01-09,0.025240,0.025710,0.025024,0.025376,0.025376,434862
2022-01-10,0.025376,0.025715,0.024200,0.025524,0.025524,73579
2022-01-11,0.025524,0.026170,0.025334,0.026084,0.026084,433224
2022-01-12,0.026084,0.026434,0.025837,0.026359,0.026359,398380
2022-01-13,0.026359,0.026520,0.025608,0.025792,0.025792,493939
2022-01-14,0.025792,0.026188,0.025240,0.025921,0.025921,473393
2022-01-15,0.025921,0.026444,0.025737,0.026134,0.026134,435846
2022-01-16,0.026134,0.026218,0.025751,0.025995,0.025995,442424
2022-01-17,0.025995,0.026079,0.025242,0.025575,0.025575,426227
2022-01-18,0.025575,0.025820,0.024990,0.025702,0.025702,439401
2022-01-19,0.025702,0.025804,0.024606,0.025306,0.025306,421712
2022-01-20,0.025306,0.026406,0.024874,0.024874,0.024874,105216
2022-01-21,0.024874,0.025079,0.022299,0.022445,0.022445,425357
2022-01-22,0.022445,0.022658,0.019999,0.020507,0.020507,402754
2022-01-23,0.020507,0.021328,0.020425,0.021154,0.021154,389693
2022-01-24,0.021154,0.021975,0.019930,0.021776,0.021776,449159
2022-01-25,0.021776,0.022528,0.021375,0.022187,0.022187,470269
2022-01-26,0.022187,0.023302,0.022019,0.022405,0.022405,448638
2022-01-27,0.022405,0.022715,0.021702,0.022269,0.022269,414563
2022-01-28,0.022269,0.022890,0.021903,0.022756,0.022756,416143
2022-01-29,0.022756,0.023085,0.022575,0.022881,0.022881,253748
2022-01-30,0.022881,0.023255,0.022425,0.022891,0.022891,418409
2022-01-31,0.022891,0.023479,0.022254,0.023114,0.023114,381709
2022-02-01,0.023114,0.023765,0.022783,0.022996,0.022996,437334
2022-02-02,0.022996,0.023570,0.022469,0.022785,0.022785,379671
2022-02-03,0.022785,0.023256,0.021851,0.022348,0.022348,381257
2022-02-04,0.022348,0.024254,0.022278,0.024210,0.024210,182863
