Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.016570,0.017227,0.016225,0.016665,0.016665,184
2021-08-23,0.016662,0.017243,0.015766,0.015892,0.015892,1418
2021-08-24,0.015896,0.017779,0.015178,0.015202,0.015202,2357
2021-08-25,0.015186,0.017205,0.012093,0.016859,0.016859,6783
2021-08-26,0.016859,0.018995,0.016264,0.017470,0.017470,9536
2021-08-27,0.017471,0.018797,0.017121,0.018358,0.018358,419
2021-08-28,0.018374,0.018459,0.017476,0.017612,0.017612,504
2021-08-29,0.017609,0.019075,0.014618,0.016549,0.016549,6503
2021-08-30,0.016551,0.016738,0.015461,0.015475,0.015475,2245
2021-08-31,0.015486,0.016273,0.015380,0.015673,0.015673,478
2021-09-01,0.015680,0.016595,0.015144,0.016591,0.016591,906
2021-09-02,0.016613,0.016947,0.011154,0.014892,0.014892,4418
2021-09-03,0.014888,0.015939,0.013452,0.015916,0.015916,2246
2021-09-04,0.015912,0.018161,0.013743,0.016398,0.016398,4192
2021-09-05,0.016398,0.021374,0.016302,0.017252,0.017252,6047
2021-09-06,0.017253,0.019587,0.016823,0.016987,0.016987,3978
2021-09-07,0.016983,0.018252,0.015020,0.015362,0.015362,2320
2021-09-08,0.015359,0.015958,0.014292,0.015737,0.015737,1866
2021-09-09,0.015626,0.015917,0.014481,0.014497,0.014497,518
2021-09-10,0.014501,0.015911,0.013924,0.014512,0.014512,3331
2021-09-11,0.014516,0.015170,0.014014,0.014058,0.014058,756
2021-09-12,0.014064,0.015957,0.013937,0.015305,0.015305,587
2021-09-13,0.015293,0.017422,0.014640,0.014904,0.014904,1527
2021-09-14,0.014903,0.017370,0.014869,0.016480,0.016480,1204
2021-09-15,0.016487,0.016788,0.015305,0.016379,0.016379,2709
2021-09-16,0.016380,0.017858,0.016119,0.017178,0.017178,1187
2021-09-17,0.017180,0.017634,0.015961,0.016071,0.016071,1228
2021-09-18,0.016084,0.016604,0.016023,0.016405,0.016405,530
2021-09-19,0.016415,0.016432,0.014316,0.014678,0.014678,506
2021-09-20,0.014675,0.015242,0.014225,0.014454,0.014454,161
2021-09-21,0.014443,0.014903,0.013393,0.014393,0.014393,1675
2021-09-22,0.014442,0.015311,0.014184,0.014387,0.014387,1553
2021-09-23,0.014384,0.015214,0.014230,0.014541,0.014541,1781
2021-09-24,0.014540,0.021902,0.013162,0.016754,0.016754,25412
2021-09-25,0.016753,0.017134,0.016494,0.016678,0.016678,1262
2021-09-26,0.016678,0.017008,0.015646,0.016574,0.016574,1167
2021-09-27,0.016564,0.017321,0.015664,0.015681,0.015681,1703
2021-09-28,0.015681,0.015700,0.012979,0.013159,0.013159,4838
2021-09-29,0.013178,0.014022,0.013157,0.013753,0.013753,631
2021-09-30,0.013763,0.014946,0.012394,0.014568,0.014568,4502
2021-10-01,0.014572,0.015383,0.012134,0.014730,0.014730,4613
2021-10-02,0.014722,0.015173,0.013417,0.014500,0.014500,382
