Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,96.821526,103.231308,96.695747,102.206810,102.206810,166021
2021-08-23,102.150246,173.546982,99.355827,130.018585,130.018585,195988
2021-08-24,130.036819,131.512360,120.885651,121.230988,121.230988,156145
2021-08-25,121.087273,128.111237,118.293732,123.898468,123.898468,155592
2021-08-26,123.889488,126.085236,113.914162,114.294601,114.294601,134132
2021-08-27,114.306297,121.093025,112.844841,119.745857,119.745857,146950
2021-08-28,119.909630,125.338341,113.817535,114.232445,114.232445,7534
2021-08-29,114.339050,115.986298,104.595940,106.719627,106.719627,2973
2021-08-30,106.606171,108.431145,102.610619,105.169388,105.169388,422
2021-08-31,105.117409,111.941177,102.080772,104.206131,104.206131,3044
2021-09-01,104.180984,107.992432,100.558052,107.992432,107.992432,3177
2021-09-02,108.042549,114.554878,103.644630,113.233910,113.233910,8732
2021-09-03,113.209946,119.405563,105.850456,107.085999,107.085999,4473
2021-09-04,107.059792,116.144577,100.969009,102.097336,102.097336,10161
2021-09-05,102.137352,108.487778,100.168922,101.451019,101.451019,6363
2021-09-06,101.467003,207.954453,93.754402,152.037796,152.037796,127977
2021-09-07,151.993332,157.705627,135.772934,141.314896,141.314896,3275
2021-09-08,141.441757,147.869904,125.142960,145.575577,145.575577,7388
2021-09-09,144.695084,148.100143,138.935043,138.935043,138.935043,1476
2021-09-10,138.927704,141.962082,119.674484,120.994423,120.994423,3332
2021-09-11,121.008537,127.159599,120.873589,123.838882,123.838882,1318
2021-09-12,123.799469,131.373169,122.900269,129.978165,129.978165,405
2021-09-13,129.956360,130.966766,120.216797,125.517265,125.517265,0
2021-09-14,125.521889,130.695190,108.106400,117.604248,117.604248,11561
2021-09-15,117.635857,118.704117,103.286850,108.752792,108.752792,6625
2021-09-16,108.788986,118.977020,107.213150,118.795311,118.795311,5581
2021-09-17,118.704803,122.872116,114.582275,115.800735,115.800735,3019
2021-09-18,115.874626,163.404266,115.047066,129.733795,129.733795,26868
2021-09-19,129.795029,135.771667,127.732498,130.755493,130.755493,2660
2021-09-20,130.762573,130.974289,109.713440,117.280571,117.280571,10059
2021-09-21,117.173416,119.450188,104.132843,105.367630,105.367630,1163
2021-09-22,105.349731,117.753395,105.349731,117.356857,117.356857,0
2021-09-23,117.299309,120.950294,116.562531,120.585884,120.585884,0
2021-09-24,120.599411,129.407333,87.424835,127.875893,127.875893,29798
2021-09-25,127.919479,128.843292,103.424721,117.205170,117.205170,15346
2021-09-26,117.182922,117.273773,92.732269,101.122086,101.122086,14568
2021-09-27,101.063606,104.743843,97.532265,97.532265,97.532265,0
2021-09-28,97.539787,98.441071,92.925087,95.866669,95.866669,1557
2021-09-29,95.744774,97.517166,90.989609,92.872528,92.872528,2283
2021-09-30,92.767418,99.151886,92.685463,97.985207,97.985207,0
2021-10-01,97.986328,115.134377,97.321815,114.432411,114.432411,3075
2021-10-02,114.440651,125.873695,113.697739,115.087151,115.087151,11412
2021-10-03,114.919617,118.254745,113.869347,115.821915,115.821915,0
2021-10-04,115.873421,116.091057,105.723526,107.104080,107.104080,4131
2021-10-05,107.130669,123.252289,106.146912,122.580208,122.580208,5130
2021-10-06,122.373474,141.942352,120.858574,140.515564,140.515564,25118
2021-10-07,140.600159,141.740631,123.177925,133.193909,133.193909,9890
2021-10-08,133.030945,181.052353,131.608612,153.414322,153.414322,60237
2021-10-09,153.363220,265.223877,149.827866,163.844681,163.844681,99758
2021-10-10,163.658905,168.051331,125.906258,127.270752,127.270752,20065
2021-10-11,127.153976,185.375656,126.274292,172.719025,172.719025,53618
2021-10-12,172.606537,237.425903,163.593719,197.106033,197.106033,61164
2021-10-13,197.182312,219.123642,178.177414,179.137909,179.137909,38946
2021-10-14,179.254868,192.581100,177.862671,192.301788,192.301788,32724
2021-10-15,192.072327,194.355270,176.973694,183.191132,183.191132,4603
2021-10-16,183.442368,187.036530,178.405487,180.021591,180.021591,771
2021-10-17,180.017029,180.421555,167.924911,174.334152,174.334152,1894
2021-10-18,174.495605,177.124603,141.143463,141.967911,141.967911,22660
2021-10-19,141.978409,157.966721,116.491699,130.244141,130.244141,53199
2021-10-20,129.638153,145.401794,124.687714,133.707672,133.707672,21024
2021-10-21,133.476608,139.326248,130.255875,130.815247,130.815247,0
2021-10-22,130.676270,134.133484,127.593521,129.131454,129.131454,391
2021-10-23,129.223480,147.369888,128.573349,143.855515,143.855515,6438
2021-10-24,143.992004,147.522141,126.654144,129.991791,129.991791,5069
2021-10-25,129.790802,135.605499,128.931503,134.769623,134.769623,0
2021-10-26,135.032166,142.598068,128.389099,130.589508,130.589508,1376
2021-10-27,130.523254,135.123734,121.677750,123.401604,123.401604,251
2021-10-28,123.570618,140.781891,102.681091,140.709106,140.709106,25677
2021-10-29,140.858353,144.949265,111.873642,119.216743,119.216743,17930
2021-10-30,119.308983,119.925011,105.160202,115.857162,115.857162,8785
2021-10-31,116.296387,150.724228,115.673271,148.911194,148.911194,19646
2021-11-01,148.943481,153.153000,143.578598,148.568817,148.568817,4801
2021-11-02,148.713074,160.038788,148.015015,159.395615,159.395615,417
2021-11-03,159.474014,171.226898,150.959229,151.998291,151.998291,30878
2021-11-04,151.865509,152.115967,137.046509,143.028748,143.028748,10019
2021-11-05,142.836548,145.623184,140.854050,143.792068,143.792068,1179
2021-11-06,143.923492,144.767532,133.475067,138.327057,138.327057,3066
2021-11-07,138.450241,143.882721,132.183853,134.963303,134.963303,10196
2021-11-08,134.817947,142.467484,132.146027,140.387787,140.387787,1761
2021-11-09,140.618332,186.445740,139.525269,184.734116,184.734116,35559
2021-11-10,184.714874,187.823395,165.773483,166.765930,166.765930,4994
2021-11-11,166.886078,171.298523,164.594254,165.929703,165.929703,2431
2021-11-12,166.077148,171.750183,159.870132,160.265427,160.265427,8692
2021-11-13,160.232620,193.497650,160.093903,188.819199,188.819199,12097
2021-11-14,189.361511,192.518417,182.962250,185.971817,185.971817,0
2021-11-15,185.816742,202.428146,185.816742,195.825729,195.825729,4585
2021-11-16,195.687897,1516.640137,0.000000,200.023422,200.023422,16488
