Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.022984,0.023165,0.022966,0.023061,0.023061,185736
2021-08-23,0.023062,0.023137,0.022943,0.022957,0.022957,190684
2021-08-24,0.022958,0.023127,0.022925,0.023017,0.023017,282589
2021-08-25,0.023014,0.023127,0.023009,0.023066,0.023066,225718
2021-08-26,0.023068,0.023133,0.023002,0.023067,0.023067,223033
2021-08-27,0.023067,0.023158,0.023006,0.023132,0.023132,247529
2021-08-28,0.023076,0.023132,0.022957,0.022998,0.022998,197839
2021-08-29,0.022998,0.023221,0.022961,0.022993,0.022993,219402
2021-08-30,0.022981,0.022994,0.022931,0.022954,0.022954,171403
2021-08-31,0.022954,0.023021,0.022948,0.023016,0.023016,186520
2021-09-01,0.023014,0.023028,0.023001,0.023014,0.023014,183101
2021-09-02,0.023015,0.023016,0.020199,0.021163,0.021163,165435
2021-09-03,0.021160,0.022036,0.019906,0.020411,0.020411,173919
2021-09-04,0.020411,0.020489,0.019630,0.019949,0.019949,202261
2021-09-05,0.019945,0.022031,0.019531,0.020283,0.020283,209205
2021-09-06,0.020281,0.022032,0.020030,0.020979,0.020979,202832
2021-09-07,0.020980,0.021495,0.020500,0.021476,0.021476,282512
2021-09-08,0.021472,0.021713,0.020508,0.020511,0.020511,257303
2021-09-09,0.020512,0.021556,0.020152,0.021013,0.021013,199450
2021-09-10,0.021013,0.021903,0.020564,0.020571,0.020571,192795
2021-09-11,0.020572,0.021163,0.017231,0.020584,0.020584,163874
2021-09-12,0.020582,0.020586,0.018325,0.018332,0.018332,160363
2021-09-13,0.018333,0.020579,0.018329,0.019464,0.019464,179095
2021-09-14,0.019462,0.020587,0.018348,0.020576,0.020576,156484
2021-09-15,0.020574,0.020581,0.020005,0.020562,0.020562,173845
2021-09-16,0.020565,0.020567,0.019998,0.020556,0.020556,175143
2021-09-17,0.020558,0.021175,0.020001,0.020623,0.020623,229135
2021-09-18,0.020624,0.020644,0.020049,0.020055,0.020055,219492
2021-09-19,0.020055,0.020927,0.020031,0.020631,0.020631,235105
2021-09-20,0.020633,0.020634,0.016307,0.018861,0.018861,196417
2021-09-21,0.018859,0.019658,0.017214,0.017218,0.017218,192245
2021-09-22,0.017218,0.019649,0.016987,0.018960,0.018960,156673
2021-09-23,0.018960,0.018972,0.015496,0.016988,0.016988,156582
2021-09-24,0.016987,0.018484,0.015500,0.016993,0.016993,180300
2021-09-25,0.016992,0.018492,0.015504,0.016995,0.016995,177242
2021-09-26,0.016995,0.018486,0.015502,0.018474,0.018474,172619
2021-09-27,0.018473,0.018842,0.015496,0.017670,0.017670,179110
2021-09-28,0.017670,0.019011,0.015474,0.018197,0.018197,148926
2021-09-29,0.018196,0.019486,0.015474,0.018446,0.018446,139996
2021-09-30,0.018445,0.019281,0.016334,0.016343,0.016343,132929
2021-10-01,0.016343,0.018576,0.016336,0.017827,0.017827,171300
2021-10-02,0.017829,0.019043,0.014929,0.014935,0.014935,162460
2021-10-03,0.014933,0.016764,0.014039,0.014049,0.014049,156104
2021-10-04,0.014048,0.017007,0.014045,0.014914,0.014914,153486
2021-10-05,0.014913,0.015376,0.014462,0.015146,0.015146,152499
2021-10-06,0.015145,0.015405,0.015028,0.015188,0.015188,169051
2021-10-07,0.015187,0.015548,0.014076,0.014570,0.014570,148101
2021-10-08,0.014570,0.026488,0.014558,0.025650,0.025650,190373
2021-10-09,0.025651,0.025652,0.016532,0.022945,0.022945,202213
2021-10-10,0.022943,0.023214,0.020795,0.021788,0.021788,167572
2021-10-11,0.021790,0.022603,0.021334,0.022041,0.022041,180957
2021-10-12,0.022043,0.022463,0.020034,0.020417,0.020417,181132
2021-10-13,0.020419,0.023308,0.020125,0.023306,0.023306,178086
2021-10-14,0.023305,0.023947,0.016516,0.022210,0.022210,185057
2021-10-15,0.022209,0.023105,0.020645,0.020888,0.020888,182823
2021-10-16,0.020889,0.021199,0.020887,0.021006,0.021006,140972
2021-10-17,0.021005,0.021148,0.020903,0.020930,0.020930,127105
2021-10-18,0.020930,0.021128,0.020422,0.020461,0.020461,127025
2021-10-19,0.020460,0.025736,0.017331,0.025208,0.025208,151967
2021-10-20,0.025209,0.025689,0.016772,0.022750,0.022750,145834
2021-10-21,0.022752,0.023637,0.016580,0.020927,0.020927,157093
2021-10-22,0.020927,0.023632,0.020563,0.021559,0.021559,160881
2021-10-23,0.021559,0.023358,0.020562,0.023192,0.023192,149217
2021-10-24,0.023191,0.023294,0.021850,0.022545,0.022545,242528
2021-10-25,0.022543,0.023279,0.021808,0.022354,0.022354,171543
2021-10-26,0.022353,0.023679,0.016431,0.018996,0.018996,171945
2021-10-27,0.018996,0.022049,0.016512,0.018192,0.018192,204780
2021-10-28,0.018192,0.022187,0.015949,0.021057,0.021057,147884
2021-10-29,0.021058,0.022068,0.019251,0.019505,0.019505,133178
2021-10-30,0.019505,0.019831,0.019281,0.019817,0.019817,133441
2021-10-31,0.019819,0.019819,0.019183,0.019206,0.019206,169520
2021-11-01,0.019205,0.019465,0.019175,0.019302,0.019302,159511
2021-11-02,0.019300,0.019448,0.019165,0.019320,0.019320,173363
2021-11-03,0.019321,0.019449,0.018726,0.018981,0.018981,213046
2021-11-04,0.018980,0.023801,0.018702,0.021050,0.021050,192535
2021-11-05,0.021049,0.022996,0.021011,0.022138,0.022138,167822
2021-11-06,0.022138,0.023761,0.020113,0.020634,0.020634,179165
2021-11-07,0.020637,0.024945,0.020220,0.022492,0.022492,155593
2021-11-08,0.022493,0.022493,0.020409,0.021262,0.021262,204596
2021-11-09,0.021261,0.021303,0.020531,0.020543,0.020543,227786
2021-11-10,0.020545,0.021046,0.020532,0.020843,0.020843,196148
2021-11-11,0.020842,0.021074,0.020183,0.021023,0.021023,159775
2021-11-12,0.020997,0.021022,0.020820,0.020835,0.020835,188219
2021-11-13,0.020860,0.024368,0.020843,0.023460,0.023460,165346
2021-11-14,0.023458,0.025029,0.021978,0.022989,0.022989,181308
2021-11-15,0.022993,0.024812,0.021991,0.024702,0.024702,169042
2021-11-16,0.024740,0.024832,0.020862,0.020926,0.020926,184541
2021-11-17,0.020923,0.021326,0.015589,0.018083,0.018083,134081
2021-11-18,0.018081,0.021586,0.015425,0.016692,0.016692,145477
2021-11-19,0.016690,0.017399,0.015084,0.015818,0.015818,109722
2021-11-20,0.015817,0.016920,0.015176,0.015331,0.015331,79845
2021-11-21,0.015341,0.015406,0.015097,0.015133,0.015133,84325
2021-11-22,0.015127,0.015171,0.014004,0.014824,0.014824,102580
2021-11-23,0.014823,0.014906,0.013205,0.013335,0.013335,114787
2021-11-24,0.013334,0.014719,0.013213,0.013577,0.013577,107635
2021-11-25,0.013638,0.018106,0.013559,0.013676,0.013676,91448
2021-11-26,0.013681,0.018198,0.013553,0.014699,0.014699,106246
2021-11-27,0.014706,0.018183,0.011047,0.013028,0.013028,99942
2021-11-28,0.013033,0.013568,0.011043,0.011186,0.011186,102790
2021-11-29,0.011185,0.013617,0.010424,0.013057,0.013057,87613
2021-11-30,0.013054,0.013867,0.010471,0.012128,0.012128,87031
2021-12-01,0.012127,0.017641,0.011172,0.013948,0.013948,95954
2021-12-02,0.013948,0.016825,0.013863,0.016243,0.016243,118025
