Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,1.111009,1.229708,0.959595,1.021535,1.021535,9768580
2021-08-23,1.021785,1.586815,0.975254,1.427880,1.427880,29278244
2021-08-24,1.428054,1.851926,1.403393,1.674219,1.674219,34809435
2021-08-25,1.674181,2.983361,1.659301,2.780714,2.780714,61094351
2021-08-26,2.757380,2.854870,2.109682,2.458459,2.458459,39924911
2021-08-27,2.462566,3.124898,2.311752,3.124898,3.124898,23554170
2021-08-28,3.124944,3.293247,2.792057,2.959803,2.959803,16898665
2021-08-29,2.957179,3.007923,2.209021,2.244202,2.244202,31710587
2021-08-30,2.240627,2.311974,1.855316,1.896164,1.896164,20943109
2021-08-31,1.872459,2.113123,1.817264,1.851821,1.851821,15276144
2021-09-01,1.854804,2.350107,1.659685,2.143011,2.143011,21656682
2021-09-02,2.135999,2.192783,1.778695,1.778695,1.778695,13228441
2021-09-03,1.778919,1.798140,1.522039,1.574364,1.574364,24160079
2021-09-04,1.574134,1.791977,1.552725,1.576271,1.576271,9026064
2021-09-05,1.576041,1.643848,1.444178,1.449811,1.449811,9217920
2021-09-06,1.449787,1.575167,1.320613,1.368309,1.368309,11056380
2021-09-07,1.368259,1.481737,1.210526,1.275334,1.275334,10108695
2021-09-08,1.275194,1.405439,1.148014,1.385399,1.385399,10286453
2021-09-09,1.335196,1.408250,1.161902,1.162849,1.162849,10506805
2021-09-10,1.162802,1.229790,1.024009,1.073777,1.073777,6307402
2021-09-11,1.073945,1.387198,1.065743,1.327934,1.327934,5747700
2021-09-12,1.327821,1.341021,1.179025,1.204822,1.204822,4313659
2021-09-13,1.204871,1.212683,0.962100,1.070053,1.070053,10310295
2021-09-14,1.069979,1.352868,1.055455,1.277525,1.277525,7212545
2021-09-15,1.280763,1.303372,1.165266,1.299636,1.299636,4909792
2021-09-16,1.299502,1.467992,1.267035,1.361249,1.361249,6451762
2021-09-17,1.359824,1.423130,1.172715,1.209227,1.209227,4246143
2021-09-18,1.209295,1.350496,1.182879,1.249843,1.249843,3476449
2021-09-19,1.249813,1.282333,1.155727,1.174327,1.174327,3351565
2021-09-20,1.174833,1.174833,0.986470,1.028711,1.028711,5377610
2021-09-21,1.027906,1.125433,0.927340,1.008761,1.008761,4707739
2021-09-22,1.008756,1.179635,0.982107,1.113650,1.113650,3291547
2021-09-23,1.113677,1.144584,1.021324,1.112712,1.112712,3894262
2021-09-24,1.112915,1.128777,0.945603,0.983651,0.983651,3464690
2021-09-25,0.983346,1.134470,0.939242,1.102399,1.102399,7092443
2021-09-26,1.101199,1.105481,0.891896,1.043514,1.043514,7110478
2021-09-27,1.043168,1.093175,1.005990,1.034572,1.034572,5807949
2021-09-28,1.034554,1.142589,1.005264,1.008994,1.008994,7143071
2021-09-29,1.008755,1.086547,0.986854,1.021231,1.021231,5605054
2021-09-30,1.020824,1.074484,0.960184,1.006151,1.006151,5676669
2021-10-01,1.006135,1.360897,1.004917,1.266084,1.266084,8104843
2021-10-02,1.266181,1.496657,1.202423,1.372738,1.372738,9579656
2021-10-03,1.372403,1.710274,1.344167,1.619925,1.619925,9714153
2021-10-04,1.619879,1.707537,1.430675,1.524546,1.524546,8539933
2021-10-05,1.524490,1.558167,1.443544,1.450656,1.450656,4791103
2021-10-06,1.449435,1.670480,1.355950,1.605985,1.605985,7459941
2021-10-07,1.605828,1.612055,1.423789,1.509632,1.509632,8392779
2021-10-08,1.509623,1.525687,1.405411,1.428007,1.428007,8452568
2021-10-09,1.428047,1.447176,1.331337,1.379461,1.379461,3341398
2021-10-10,1.379297,1.482172,1.315620,1.376607,1.376607,3263027
2021-10-11,1.376740,3.789157,1.368240,2.552337,2.552337,653161415
2021-10-12,2.559404,3.080460,2.306922,2.390023,2.390023,252267302
2021-10-13,2.390296,2.483143,1.964649,2.055293,2.055293,82196606
2021-10-14,2.051314,2.205138,2.002119,2.109633,2.109633,59548200
2021-10-15,2.109633,2.181131,1.826403,1.874417,1.874417,47623520
2021-10-16,1.875386,2.027715,1.851825,1.896081,1.896081,28002417
2021-10-17,1.892149,2.701276,1.858866,2.050558,2.050558,181772153
2021-10-18,2.051529,2.532332,2.021791,2.200011,2.200011,87511025
2021-10-19,2.193101,2.449971,2.123438,2.350221,2.350221,79761115
2021-10-20,2.352220,2.493870,2.193123,2.243694,2.243694,53321864
2021-10-21,2.244853,2.270519,2.045677,2.069081,2.069081,32085934
2021-10-22,2.068071,2.116964,1.873896,1.923751,1.923751,25015990
2021-10-23,1.923803,2.029680,1.882874,1.948659,1.948659,17650186
2021-10-24,1.951491,2.133413,1.851186,1.890417,1.890417,29871516
2021-10-25,1.885445,2.042883,1.864580,1.940800,1.940800,25016759
2021-10-26,1.940652,1.967138,1.881937,1.897613,1.897613,21888904
2021-10-27,1.897596,1.938141,1.591616,1.596387,1.596387,25791357
2021-10-28,1.596325,1.718479,1.530112,1.661746,1.661746,30298590
2021-10-29,1.661789,1.843030,1.610222,1.764084,1.764084,25258115
2021-10-30,1.766996,2.084932,1.739824,1.858414,1.858414,65343610
2021-10-31,1.858563,2.096976,1.858563,1.959609,1.959609,43476314
2021-11-01,1.959522,1.994809,1.822517,1.909408,1.909408,21777617
2021-11-02,1.901610,1.934816,1.849353,1.917491,1.917491,19699229
2021-11-03,1.922342,2.049004,1.856739,2.030441,2.030441,24945002
2021-11-04,2.037292,2.045929,1.774803,1.814573,1.814573,15050747
2021-11-05,1.811486,1.829532,1.741965,1.748664,1.748664,10540114
2021-11-06,1.750633,1.754559,1.621836,1.729032,1.729032,12753265
2021-11-07,1.726406,1.852535,1.719862,1.771708,1.771708,10487992
2021-11-08,1.774675,1.782301,1.667589,1.682757,1.682757,11494390
2021-11-09,1.684655,1.714104,1.610331,1.676213,1.676213,15811355
2021-11-10,1.676346,1.820424,1.490918,1.500559,1.500559,22580308
2021-11-11,1.500495,1.631160,1.474934,1.581881,1.581881,14164265
2021-11-12,1.574157,1.587711,1.428643,1.483503,1.483503,11322202
2021-11-13,1.485267,1.599332,1.441625,1.551406,1.551406,11251276
2021-11-14,1.551306,1.597735,1.476975,1.507228,1.507228,10692519
2021-11-15,1.507515,1.781703,1.507503,1.697835,1.697835,34741754
2021-11-16,1.699419,1.699419,1.428294,1.501489,1.501489,14479744
2021-11-17,1.501249,1.697354,1.431069,1.569032,1.569032,22368099
2021-11-18,1.566009,2.286819,1.547350,1.642398,1.642398,138806313
2021-11-19,1.638294,2.258603,1.633768,1.881793,1.881793,147141281
2021-11-20,1.879725,2.036839,1.764391,1.882480,1.882480,52651895
2021-11-21,1.884621,2.592186,1.848049,2.140754,2.140754,136720530
2021-11-22,2.138044,2.494625,2.032288,2.050504,2.050504,91515970
2021-11-23,2.056150,2.056150,1.796119,1.838794,1.838794,45332142
2021-11-24,1.835658,1.951532,1.691888,1.735426,1.735426,46870454
2021-11-25,1.925460,2.126216,1.824643,2.003454,2.003454,54127522
2021-11-26,1.845577,1.849001,1.567238,1.580492,1.580492,39752418
2021-11-27,1.578335,1.717365,1.578335,1.621530,1.621530,21325943
2021-11-28,1.625019,1.792022,1.539504,1.738325,1.738325,23058072
2021-11-29,1.737153,1.796623,1.653699,1.659232,1.659232,19837442
2021-11-30,1.658798,1.941787,1.656907,1.938883,1.938883,40427247
2021-12-01,1.919519,2.074955,1.791315,1.820577,1.820577,41549816
2021-12-02,1.822485,1.823444,1.662198,1.682206,1.682206,23522390
2021-12-03,1.680838,1.718393,1.501249,1.543132,1.543132,21002363
2021-12-04,1.543047,1.545241,1.050047,1.322008,1.322008,23625833
2021-12-05,1.321929,1.332165,1.186813,1.208247,1.208247,11934551
2021-12-06,1.204699,1.773389,1.073619,1.328066,1.328066,42930768
2021-12-07,1.327665,1.590303,1.269250,1.420412,1.420412,41643515
2021-12-08,1.419480,1.492999,1.331786,1.422791,1.422791,18202527
2021-12-09,1.420222,1.441300,1.236407,1.251119,1.251119,13730173
2021-12-10,1.251685,1.298614,1.143066,1.146263,1.146263,10363695
2021-12-11,1.146141,1.231361,1.131877,1.191598,1.191598,10340117
2021-12-12,1.190579,1.252695,1.160532,1.221616,1.221616,10262941
2021-12-13,1.222199,1.223372,1.030613,1.050673,1.050673,11677578
2021-12-14,1.050670,1.106687,1.010596,1.091426,1.091426,13481492
2021-12-15,1.091311,1.143312,1.010810,1.115678,1.115678,16968822
2021-12-16,1.115627,1.164841,1.062905,1.066960,1.066960,10640546
2021-12-17,1.062465,1.062465,0.999922,1.045597,1.045597,11162759
2021-12-18,1.045144,1.075316,1.001241,1.042990,1.042990,10739075
2021-12-19,1.042859,1.071033,1.005755,1.016377,1.016377,9012649
2021-12-20,1.016063,1.027177,0.901380,0.928019,0.928019,12057297
2021-12-21,0.926206,1.215365,0.921157,1.030344,1.030344,37656775
2021-12-22,1.030460,1.078419,1.019076,1.029278,1.029278,14097025
2021-12-23,1.029215,1.125748,0.987139,1.094121,1.094121,17992673
2021-12-24,1.094253,1.117253,1.028259,1.035892,1.035892,16675778
2021-12-25,1.036265,1.073411,1.003625,1.048974,1.048974,15627043
2021-12-26,1.047131,1.065241,1.018897,1.056586,1.056586,14898327
2021-12-27,1.055533,1.323452,1.055276,1.117852,1.117852,44218212
2021-12-28,1.117203,1.162967,0.979939,1.018480,1.018480,23125725
2021-12-29,1.018328,1.036301,0.942105,0.951258,0.951258,15222109
2021-12-30,0.952241,0.998851,0.935655,0.953899,0.953899,13946268
2021-12-31,0.953962,0.996060,0.922591,0.942181,0.942181,15084214
2022-01-01,0.944202,0.989724,0.940891,0.988652,0.988652,9761950
2022-01-02,0.988567,1.088589,0.975592,1.014472,1.014472,22713012
2022-01-03,1.014480,1.051171,0.960717,0.975324,0.975324,13928665
2022-01-04,0.975752,1.077739,0.959883,1.027916,1.027916,16901746
2022-01-05,1.027776,1.241758,0.946154,0.986276,0.986276,56340871
2022-01-06,0.986695,0.993343,0.907568,0.952813,0.952813,20028722
2022-01-07,0.952749,0.955362,0.853976,0.877120,0.877120,17246535
2022-01-08,0.876936,0.907934,0.799665,0.821845,0.821845,14468367
2022-01-09,0.821753,0.855150,0.788181,0.838857,0.838857,11621136
2022-01-10,0.838834,0.870226,0.734716,0.744036,0.744036,18212185
2022-01-11,0.743745,0.816223,0.730727,0.808044,0.808044,13786455
2022-01-12,0.808107,0.836560,0.785961,0.834474,0.834474,12062713
2022-01-13,0.834896,0.843570,0.751098,0.751285,0.751285,11742887
2022-01-14,0.751349,0.818158,0.744156,0.799814,0.799814,12316299
2022-01-15,0.799839,0.816777,0.774650,0.791163,0.791163,9248078
2022-01-16,0.791128,0.804989,0.777895,0.789390,0.789390,7686922
2022-01-17,0.789427,0.789530,0.706701,0.724084,0.724084,7927800
2022-01-18,0.724038,0.728025,0.661840,0.702070,0.702070,8035164
2022-01-19,0.701959,0.702034,0.648419,0.651997,0.651997,7773727
2022-01-20,0.651737,0.694017,0.604159,0.604207,0.604207,5552954
2022-01-21,0.604566,0.614073,0.488394,0.490623,0.490623,11951325
2022-01-22,0.490160,0.500795,0.399547,0.485124,0.485124,16025387
2022-01-23,0.484989,0.484989,0.439398,0.466816,0.466816,6691396
2022-01-24,0.466397,0.466927,0.381174,0.445387,0.445387,9263515
2022-01-25,0.445415,0.463549,0.426519,0.449188,0.449188,10768617
2022-01-26,0.448975,0.487493,0.430038,0.442552,0.442552,7130300
2022-01-27,0.442535,0.458439,0.419686,0.445967,0.445967,7794913
2022-01-28,0.446028,0.495223,0.433922,0.495214,0.495214,7457408
2022-01-29,0.495152,0.667908,0.481324,0.568938,0.568938,33859591
2022-01-30,0.569108,0.571929,0.512774,0.513924,0.513924,15177429
2022-01-31,0.513909,0.555810,0.500289,0.527366,0.527366,9556372
2022-02-01,0.527292,0.596741,0.526201,0.542364,0.542364,14235668
2022-02-02,0.542375,0.692138,0.533297,0.627831,0.627831,26544644
2022-02-03,0.628257,0.695997,0.573538,0.596386,0.596386,19349676
2022-02-04,0.595886,0.669610,0.590498,0.648484,0.648484,10705084
2022-02-05,0.648423,0.648423,0.615571,0.629525,0.629525,11886311
2022-02-06,0.629307,0.660892,0.627423,0.642918,0.642918,10504940
2022-02-07,0.642834,0.672790,0.625994,0.663773,0.663773,9801527
2022-02-08,0.663703,0.741584,0.637929,0.652403,0.652403,13638521
2022-02-09,0.652433,0.685646,0.635466,0.672885,0.672885,7036784
2022-02-10,0.673988,0.674775,0.602327,0.605107,0.605107,14835402
2022-02-11,0.604898,0.605115,0.521570,0.533513,0.533513,16010720
2022-02-12,0.533530,0.556612,0.525300,0.535418,0.535418,9709659
2022-02-13,0.535389,0.811581,0.533984,0.721160,0.721160,80778363
2022-02-14,0.722052,0.811148,0.616457,0.628496,0.628496,97080695
2022-02-15,0.628463,0.678119,0.622919,0.667056,0.667056,27623630
2022-02-16,0.667188,0.674102,0.637141,0.644557,0.644557,14445357
2022-02-17,0.644368,0.693988,0.608346,0.611742,0.611742,24241156
2022-02-18,0.611898,0.628963,0.562117,0.565963,0.565963,13150125
2022-02-19,0.565923,0.662466,0.548624,0.624898,0.624898,24274778
2022-02-20,0.623070,0.639734,0.564452,0.580420,0.580420,33294727
2022-02-21,0.580404,0.593965,0.511353,0.511353,0.511353,15409285
2022-02-22,0.511182,0.515049,0.485134,0.514570,0.514570,10951534
2022-02-23,0.514536,0.536357,0.491568,0.494190,0.494190,10537795
2022-02-24,0.494124,0.494907,0.403632,0.459265,0.459265,17928884
2022-02-25,0.459318,0.511437,0.459318,0.501333,0.501333,13130017
