Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.001339,0.001372,0.001292,0.001352,0.001352,21957
2021-08-23,0.001352,0.001467,0.001321,0.001374,0.001374,42303
2021-08-24,0.001374,0.001393,0.001301,0.001351,0.001351,30549
2021-08-25,0.001351,0.001387,0.001241,0.001270,0.001270,34178
2021-08-26,0.001271,0.001290,0.001210,0.001234,0.001234,21126
2021-08-27,0.001234,0.001401,0.001203,0.001271,0.001271,66208
2021-08-28,0.001260,0.001271,0.001212,0.001231,0.001231,19653
2021-08-29,0.001231,0.001311,0.001203,0.001282,0.001282,21925
2021-08-30,0.001282,0.001294,0.001208,0.001211,0.001211,18269
2021-08-31,0.001211,0.001221,0.001062,0.001181,0.001181,32512
2021-09-01,0.001181,0.001226,0.001081,0.001191,0.001191,35966
2021-09-02,0.001191,0.001213,0.001061,0.001181,0.001181,17472
2021-09-03,0.001181,0.001299,0.001076,0.001218,0.001218,46118
2021-09-04,0.001218,0.001250,0.001150,0.001174,0.001174,21879
2021-09-05,0.001178,0.001209,0.001104,0.001190,0.001190,22283
2021-09-06,0.001190,0.001278,0.001151,0.001190,0.001190,34446
2021-09-07,0.001190,0.001221,0.001001,0.001100,0.001100,45123
2021-09-08,0.001100,0.001199,0.000913,0.001130,0.001130,67691
2021-09-09,0.001080,0.001202,0.001041,0.001052,0.001052,6947
2021-09-10,0.001052,0.001052,0.000962,0.001032,0.001032,11633
2021-09-11,0.001038,0.001072,0.000994,0.001004,0.001004,9697
2021-09-12,0.001004,0.001072,0.001000,0.001029,0.001029,12428
2021-09-13,0.001029,0.001042,0.000915,0.000990,0.000990,14620
2021-09-14,0.000990,0.001098,0.000943,0.001051,0.001051,29171
2021-09-15,0.001051,0.001075,0.001001,0.001071,0.001071,13207
2021-09-16,0.001071,0.001230,0.001061,0.001136,0.001136,116447
2021-09-17,0.001137,0.001197,0.001040,0.001050,0.001050,21913
2021-09-18,0.001050,0.001090,0.001019,0.001031,0.001031,13537
2021-09-19,0.001031,0.001158,0.001013,0.001082,0.001082,14578
