Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.025905,0.027188,0.025214,0.026925,0.026925,1521
2021-08-23,0.026910,0.027403,0.024820,0.025123,0.025123,1535
2021-08-24,0.025127,0.025868,0.023428,0.023473,0.023473,1534
2021-08-25,0.023571,0.025471,0.021534,0.024770,0.024770,1886
2021-08-26,0.024767,0.024797,0.023127,0.023716,0.023716,1338
2021-08-27,0.023717,0.026451,0.023576,0.026259,0.026259,1648
2021-08-28,0.026230,0.026564,0.025926,0.026019,0.026019,1285
2021-08-29,0.026020,0.026117,0.024727,0.025454,0.025454,1387
2021-08-30,0.025461,0.026212,0.024772,0.025082,0.025082,1279
2021-08-31,0.025090,0.026446,0.024510,0.026253,0.026253,1444
2021-09-01,0.026177,0.028652,0.025537,0.028354,0.028354,1827
2021-09-02,0.028354,0.028855,0.027607,0.028293,0.028293,1777
2021-09-03,0.028281,0.030325,0.027663,0.030323,0.030323,1522
2021-09-04,0.030343,0.030936,0.029913,0.030229,0.030229,1498
2021-09-05,0.030247,0.031117,0.029480,0.030920,0.030920,1865
2021-09-06,0.030906,0.031261,0.029358,0.030146,0.030146,1390
2021-09-07,0.030131,0.030681,0.023150,0.025399,0.025399,1002
2021-09-08,0.025390,0.026101,0.023347,0.025720,0.025720,1380
2021-09-09,0.025378,0.026354,0.024922,0.025207,0.025207,1351
2021-09-10,0.025191,0.025888,0.022636,0.022944,0.022944,999
2021-09-11,0.022962,0.023864,0.022944,0.023272,0.023272,1044
2021-09-12,0.023284,0.024460,0.022905,0.024120,0.024120,1072
2021-09-13,0.024110,0.024123,0.022100,0.023031,0.023031,1123
2021-09-14,0.023037,0.023969,0.022863,0.023936,0.023936,1198
2021-09-15,0.023950,0.025622,0.023723,0.025302,0.025302,1288
2021-09-16,0.025415,0.026166,0.024732,0.025203,0.025203,1394
2021-09-17,0.025213,0.025431,0.024055,0.024175,0.024175,1213
2021-09-18,0.024198,0.024998,0.023580,0.023765,0.023765,1160
2021-09-19,0.023784,0.023890,0.022418,0.023112,0.023112,942
2021-09-20,0.023106,0.023203,0.020115,0.020180,0.020180,743
2021-09-21,0.020151,0.020887,0.018066,0.018497,0.018497,941
2021-09-22,0.018577,0.021079,0.018395,0.021067,0.021067,1546
2021-09-23,0.021083,0.021734,0.020781,0.021657,0.021657,1440
2021-09-24,0.021647,0.021790,0.019259,0.020611,0.020611,1409
2021-09-25,0.020610,0.020902,0.019811,0.020494,0.020494,1516
2021-09-26,0.020479,0.021835,0.019267,0.021543,0.021543,1686
2021-09-27,0.021528,0.022241,0.020324,0.020324,0.020324,1516
2021-09-28,0.020334,0.020604,0.019274,0.019336,0.019336,0
2021-09-29,0.019370,0.020302,0.019007,0.019522,0.019522,1133
2021-09-30,0.019544,0.020771,0.019428,0.020265,0.020265,1936
2021-10-01,0.020261,0.022150,0.020106,0.022042,0.022042,1690
2021-10-02,0.022028,0.023318,0.021700,0.022734,0.022734,2031
2021-10-03,0.022724,0.023359,0.022365,0.022721,0.022721,1584
2021-10-04,0.022732,0.023041,0.015273,0.022617,0.022617,1927
2021-10-05,0.022613,0.023728,0.022375,0.023574,0.023574,0
2021-10-06,0.023574,0.024271,0.022475,0.024088,0.024088,139
2021-10-07,0.024061,0.036142,0.023385,0.028308,0.028308,1855
2021-10-08,0.028309,0.040278,0.027927,0.036618,0.036618,3099
2021-10-09,0.036635,0.040063,0.036235,0.037834,0.037834,3479
2021-10-10,0.037831,0.039457,0.026831,0.034365,0.034365,3302
2021-10-11,0.034327,0.037566,0.032750,0.034613,0.034613,2970
2021-10-12,0.034638,0.035027,0.031193,0.031653,0.031653,2875
2021-10-13,0.031643,0.032356,0.026598,0.028330,0.028330,2629
2021-10-14,0.028345,0.034055,0.027993,0.032915,0.032915,2571
2021-10-15,0.032900,0.034604,0.030404,0.032653,0.032653,2390
2021-10-16,0.032639,0.033153,0.028800,0.029932,0.029932,3185
2021-10-17,0.029915,0.031183,0.028810,0.030210,0.030210,2608
2021-10-18,0.030200,0.031002,0.028059,0.028453,0.028453,2232
2021-10-19,0.028453,0.029649,0.028056,0.028613,0.028613,2644
2021-10-20,0.028617,0.031642,0.026338,0.030634,0.030634,2452
2021-10-21,0.030671,0.033058,0.029791,0.032186,0.032186,2129
2021-10-22,0.032151,0.032949,0.029685,0.030968,0.030968,2334
2021-10-23,0.030967,0.032862,0.030650,0.032566,0.032566,2718
2021-10-24,0.032581,0.032761,0.029237,0.031521,0.031521,2133
2021-10-25,0.031518,0.033183,0.031001,0.032549,0.032549,3378
2021-10-26,0.032562,0.033455,0.031777,0.031854,0.031854,2870
2021-10-27,0.031851,0.033513,0.029924,0.029942,0.029942,2500
2021-10-28,0.029909,0.032625,0.029566,0.032281,0.032281,2738
2021-10-29,0.032284,0.034087,0.032228,0.033989,0.033989,2650
2021-10-30,0.033994,0.034087,0.032539,0.033270,0.033270,2451
2021-10-31,0.033308,0.034187,0.032241,0.034041,0.034041,3110
2021-11-01,0.034047,0.034527,0.032955,0.033477,0.033477,2802
2021-11-02,0.033473,0.035926,0.032937,0.035785,0.035785,3368
2021-11-03,0.035761,0.037133,0.035436,0.036285,0.036285,2866
