Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,1.402424,1.466975,1.350276,1.402401,1.402401,30267757
2021-08-23,1.398570,1.599307,1.390943,1.550091,1.550091,54005286
2021-08-24,1.550437,1.577969,1.372727,1.406381,1.406381,30184214
2021-08-25,1.405415,1.690476,1.405415,1.612048,1.612048,67829370
2021-08-26,1.613693,1.717825,1.460500,1.676945,1.676945,60696575
2021-08-27,1.667142,1.762130,1.600883,1.707908,1.707908,58234742
2021-08-28,1.709753,1.772418,1.635384,1.659987,1.659987,29426783
2021-08-29,1.660802,1.692186,1.625295,1.659582,1.659582,19658180
2021-08-30,1.659564,1.665204,1.518121,1.523577,1.523577,30300968
2021-08-31,1.522796,1.597503,1.500797,1.533174,1.533174,23625206
2021-09-01,1.530824,1.587841,1.473326,1.586939,1.586939,26328195
2021-09-02,1.582731,1.605283,1.527772,1.565796,1.565796,27524782
2021-09-03,1.566771,1.587176,1.525954,1.559803,1.559803,19214111
2021-09-04,1.559585,1.624482,1.542996,1.561857,1.561857,22333744
2021-09-05,1.562290,1.614896,1.540715,1.607669,1.607669,22402556
2021-09-06,1.607503,1.675345,1.432588,1.526745,1.526745,37908516
2021-09-07,1.526407,1.577527,0.998688,1.161471,1.161471,57214868
2021-09-08,1.161278,1.201885,1.047571,1.149209,1.149209,31618698
2021-09-09,1.132073,1.209175,1.111954,1.145855,1.145855,30693801
2021-09-10,1.145845,1.209458,1.063928,1.113026,1.113026,27869840
2021-09-11,1.112222,1.151363,1.084015,1.096963,1.096963,17184341
2021-09-12,1.100332,1.231453,1.069977,1.191337,1.191337,25950577
2021-09-13,1.194644,1.203186,1.055458,1.091327,1.091327,20370983
2021-09-14,1.089841,1.231292,1.081415,1.199407,1.199407,23112435
2021-09-15,1.200786,1.226062,1.181677,1.198726,1.198726,18756133
2021-09-16,1.198879,1.278575,1.158177,1.222793,1.222793,24351620
2021-09-17,1.225665,1.235308,1.138053,1.146924,1.146924,16946813
2021-09-18,1.146957,1.221631,1.123199,1.184117,1.184117,18926355
2021-09-19,1.185735,1.206304,1.134387,1.153435,1.153435,16698453
2021-09-20,1.151983,1.159855,0.932679,0.967385,0.967385,24416782
2021-09-21,0.972850,1.029992,0.879353,0.892462,0.892462,17191009
2021-09-22,0.893821,1.035639,0.878689,1.006657,1.006657,19635972
2021-09-23,1.008427,1.032362,0.966549,1.008142,1.008142,16221368
2021-09-24,1.008297,1.012936,0.867465,0.904790,0.904790,19342870
2021-09-25,0.904778,0.920865,0.868752,0.910960,0.910960,14841867
2021-09-26,0.910965,0.920868,0.820576,0.894216,0.894216,13790170
2021-09-27,0.896914,0.944773,0.843214,0.845233,0.845233,16933441
2021-09-28,0.843082,0.867933,0.817027,0.820039,0.820039,11902578
2021-09-29,0.821495,0.890254,0.813645,0.856189,0.856189,12352746
2021-09-30,0.856158,0.901666,0.850010,0.891535,0.891535,13986925
2021-10-01,0.894108,1.006423,0.882960,1.005739,1.005739,13669422
2021-10-02,1.005418,1.054200,0.975219,1.017837,1.017837,13421886
2021-10-03,1.016050,1.041983,0.995126,1.023823,1.023823,11913120
2021-10-04,1.022902,1.022902,0.954529,0.979775,0.979775,12511459
2021-10-05,0.981494,1.090922,0.975109,1.063530,1.063530,19564277
2021-10-06,1.066248,1.070480,0.974520,1.055163,1.055163,17621238
2021-10-07,1.053691,1.144355,1.017579,1.082387,1.082387,20778383
2021-10-08,1.082511,1.115294,1.055847,1.065596,1.065596,15310476
2021-10-09,1.064586,1.214986,1.055029,1.093257,1.093257,31562723
2021-10-10,1.094221,1.120768,1.041009,1.048115,1.048115,16878034
2021-10-11,1.048202,1.094550,1.000851,1.026649,1.026649,14547167
2021-10-12,1.026914,1.038626,0.951362,1.020887,1.020887,18519721
2021-10-13,1.021005,2.819358,1.011939,2.819358,2.819358,1635514644
2021-10-14,2.810413,3.133781,2.242693,2.358479,2.358479,804250788
2021-10-15,2.362558,2.437347,1.951118,2.029300,2.029300,261417932
