Date,Open,High,Low,Close,Adj Close,Volume
2021-10-14,0.000000,9.217794,0.000000,9.217269,9.217269,14834482
2021-10-15,9.380178,9.438375,6.760019,7.051425,7.051425,12226007
2021-10-16,7.051506,7.810112,6.780504,6.898494,6.898494,3603739
2021-10-17,6.898352,7.136971,6.317281,6.439071,6.439071,1438246
2021-10-18,6.439069,6.793360,5.273476,5.926992,5.926992,2981380
2021-10-19,5.926812,6.515901,5.724788,6.004599,6.004599,2037846
2021-10-20,6.004667,6.430174,5.830089,6.266880,6.266880,1587442
2021-10-21,6.267353,6.683559,6.192986,6.387666,6.387666,1345016
2021-10-22,6.388172,8.561305,6.232640,8.112993,8.112993,5183110
2021-10-23,8.113112,8.113112,7.082776,7.419476,7.419476,1319283
2021-10-24,7.419497,7.434479,6.273750,7.007229,7.007229,2004261
2021-10-25,7.006815,7.024803,6.308872,6.472640,6.472640,1926004
2021-10-26,6.471924,7.149370,6.330201,6.637524,6.637524,1523908
2021-10-27,6.637490,6.767627,6.183773,6.354257,6.354257,1215275
2021-10-28,6.353717,6.793067,6.116315,6.585735,6.585735,1536422
2021-10-29,6.585888,6.773879,6.092218,6.107224,6.107224,1215605
2021-10-30,6.107344,6.285853,5.503594,5.611328,5.611328,1419998
2021-10-31,5.612078,6.127416,5.501718,6.027937,6.027937,1428562
2021-11-01,6.027661,6.085161,5.534208,5.739325,5.739325,1368194
2021-11-02,5.739984,6.166101,5.302675,5.648366,5.648366,107972128
2021-11-03,5.648479,6.499627,5.617817,5.858282,5.858282,979815
2021-11-04,5.856644,5.892515,5.540069,5.540308,5.540308,498470
2021-11-05,5.537613,6.174029,5.537613,5.748673,5.748673,850782
2021-11-06,5.748473,6.103554,5.727558,5.844196,5.844196,658409
2021-11-07,5.845830,6.102744,5.443244,5.838924,5.838924,1143656
2021-11-08,5.838257,5.983758,5.611960,5.661444,5.661444,655185
2021-11-09,5.661040,5.923227,5.600098,5.709843,5.709843,1425103
2021-11-10,5.711637,7.777966,5.654603,6.859260,6.859260,3202449
2021-11-11,6.856047,8.746767,6.425518,8.105437,8.105437,3299189
2021-11-12,8.099086,8.228529,7.232642,7.666132,7.666132,1636931
2021-11-13,7.672811,7.685339,6.560205,6.748862,6.748862,1443790
2021-11-14,6.748509,6.756094,6.043208,6.257876,6.257876,943710
2021-11-15,6.260338,7.160258,6.260338,6.970173,6.970173,1305306
2021-11-16,6.979653,6.982209,6.316198,6.486200,6.486200,1534894
2021-11-17,6.485078,6.579900,6.171380,6.312723,6.312723,1254292
2021-11-18,6.311271,6.951787,6.118510,6.845488,6.845488,1878370
2021-11-19,6.847348,7.520653,6.643746,7.201951,7.201951,1582517
2021-11-20,7.201242,7.227679,6.691650,6.784703,6.784703,1166162
2021-11-21,6.788218,7.001517,6.585009,6.977453,6.977453,1617888
2021-11-22,6.978035,7.022753,6.298384,6.572644,6.572644,1761151
2021-11-23,6.573373,6.842941,6.308716,6.651675,6.651675,2030939
2021-11-24,6.651530,6.945053,6.189677,6.788112,6.788112,2092258
2021-11-25,6.266060,6.356454,5.129852,5.977285,5.977285,2044677
2021-11-26,5.472832,5.487838,4.405249,4.444846,4.444846,2425058
2021-11-27,4.446017,5.903889,4.400259,5.271942,5.271942,2301434
