Date,Open,High,Low,Close,Adj Close,Volume
2021-09-21,0.101622,0.106579,0.101622,0.105442,0.105442,644898
2021-09-22,0.105439,0.117046,0.104944,0.112684,0.112684,747254
2021-09-23,0.112686,0.144614,0.112544,0.138586,0.138586,1096674
2021-09-24,0.138581,0.140137,0.117107,0.135763,0.135763,826401
2021-09-25,0.135761,0.144635,0.125286,0.132070,0.132070,469596
2021-09-26,0.132071,0.139134,0.120691,0.125484,0.125484,398934
2021-09-27,0.125481,0.126699,0.107704,0.116719,0.116719,483497
2021-09-28,0.116719,0.128625,0.103062,0.126708,0.126708,722949
2021-09-29,0.126698,0.141657,0.120220,0.141155,0.141155,693456
2021-09-30,0.141150,0.149079,0.104410,0.119370,0.119370,492875
2021-10-01,0.119368,0.125029,0.102399,0.121862,0.121862,320104
2021-10-02,0.121871,0.122423,0.106267,0.109507,0.109507,288061
2021-10-03,0.109491,0.111280,0.096979,0.108407,0.108407,336471
2021-10-04,0.108401,0.109748,0.095000,0.099957,0.099957,253915
2021-10-05,0.099954,0.101329,0.087408,0.092614,0.092614,1326141
2021-10-06,0.092611,0.092612,0.079990,0.084635,0.084635,647225
2021-10-07,0.084627,0.121535,0.082459,0.115030,0.115030,2186972
2021-10-08,0.115033,0.145802,0.110052,0.138777,0.138777,1308846
2021-10-09,0.138785,0.138785,0.118959,0.125780,0.125780,519726
2021-10-10,0.125766,0.126204,0.119200,0.120806,0.120806,217698
2021-10-11,0.120817,0.121304,0.101255,0.106017,0.106017,206024
2021-10-12,0.106024,0.106249,0.095623,0.100250,0.100250,135033
2021-10-13,0.100261,0.100261,0.085121,0.087246,0.087246,293320
2021-10-14,0.087242,0.089759,0.062004,0.077696,0.077696,645633
2021-10-15,0.077695,0.078457,0.070477,0.071289,0.071289,246412
2021-10-16,0.071289,0.073543,0.067962,0.069142,0.069142,240793
2021-10-17,0.069140,0.071958,0.068622,0.070524,0.070524,148536
2021-10-18,0.070524,0.079918,0.068772,0.068772,0.068772,273883
