Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.978995,0.990928,0.961195,0.988955,0.988955,174690
2021-08-23,0.988968,0.999083,0.931707,0.997467,0.997467,403033
2021-08-24,0.997499,0.997950,0.980299,0.997196,0.997196,183587
2021-08-25,0.997063,1.001177,0.989233,0.997064,0.997064,176671
2021-08-26,0.997158,0.997830,0.994472,0.997498,0.997498,136512
2021-08-27,0.997529,1.005774,0.994121,0.997540,0.997540,218571
2021-08-28,0.997454,0.998684,0.987888,0.997704,0.997704,218171
2021-08-29,0.997725,0.998838,0.995497,0.998296,0.998296,235212
2021-08-30,0.998321,1.002384,0.995732,0.998679,0.998679,676578
2021-08-31,0.998607,1.000289,0.995144,0.997726,0.997726,662717
2021-09-01,0.997628,1.003125,0.997144,0.998321,0.998321,1091516
2021-09-02,0.998351,1.038910,0.970543,1.020323,1.020323,863597
2021-09-03,1.020187,1.020365,0.984131,0.998432,0.998432,245664
2021-09-04,0.998419,1.033630,0.989568,1.006455,1.006455,265708
2021-09-05,1.006287,1.069326,0.986441,1.001406,1.001406,202584
2021-09-06,1.001362,1.024289,0.991773,1.000539,1.000539,359395
2021-09-07,1.000572,1.002341,0.971053,0.979559,0.979559,1366416
2021-09-08,0.979383,0.998241,0.954575,0.994283,0.994283,824005
2021-09-09,0.999633,1.000430,0.980251,0.988853,0.988853,976368
2021-09-10,0.988845,0.993720,0.976948,0.978153,0.978153,900499
2021-09-11,0.978213,0.985059,0.978087,0.984843,0.984843,506620
2021-09-12,0.984763,0.987022,0.984123,0.985338,0.985338,350063
2021-09-13,0.985402,0.986465,0.980475,0.981445,0.981445,462917
2021-09-14,0.981331,0.984096,0.979062,0.983548,0.983548,384267
2021-09-15,0.983473,0.988715,0.983312,0.988325,0.988325,263553
2021-09-16,0.988454,0.992646,0.987948,0.991738,0.991738,350687
2021-09-17,0.991847,0.999674,0.986749,0.986921,0.986921,502293
2021-09-18,0.986953,0.990619,0.986420,0.988278,0.988278,286628
2021-09-19,0.988279,0.992621,0.987526,0.991250,0.991250,218787
2021-09-20,0.991238,0.991307,0.970016,0.983551,0.983551,662806
2021-09-21,0.983417,0.992780,0.976385,0.978214,0.978214,487786
2021-09-22,0.978182,0.982904,0.969900,0.980837,0.980837,687896
2021-09-23,0.980854,0.990807,0.980369,0.988841,0.988841,442038
2021-09-24,0.988802,0.989718,0.973440,0.977619,0.977619,562536
2021-09-25,0.977601,0.978839,0.976862,0.978590,0.978590,204840
2021-09-26,0.978659,1.002345,0.498571,0.976043,0.976043,2809392
2021-09-27,0.976133,1.000802,0.958215,0.958226,0.958226,132188
2021-09-28,0.958291,0.989182,0.932321,0.965669,0.965669,167490
2021-09-29,0.965588,0.979977,0.935002,0.960906,0.960906,152126
2021-09-30,0.960871,1.000515,0.930914,0.983968,0.983968,4546113
2021-10-01,0.983952,0.999040,0.965134,0.984900,0.984900,28243704
2021-10-02,0.984975,0.998709,0.979906,0.985325,0.985325,5722971
2021-10-03,0.985179,0.996897,0.979794,0.984049,0.984049,9735556
2021-10-04,0.983998,0.995078,0.975526,0.981377,0.981377,3561089
2021-10-05,0.981341,0.991438,0.950124,0.984466,0.984466,2142904
2021-10-06,0.984433,0.989566,0.960922,0.979810,0.979810,211009
2021-10-07,0.979710,0.988002,0.953524,0.983145,0.983145,231047
2021-10-08,0.983168,0.987081,0.976066,0.978857,0.978857,143653
2021-10-09,0.978914,0.984203,0.963221,0.974953,0.974953,192612
2021-10-10,0.974845,0.983581,0.930134,0.943267,0.943267,607592
2021-10-11,0.943359,0.953952,0.926965,0.933081,0.933081,246329
2021-10-12,0.933149,0.960209,0.913265,0.942381,0.942381,146035
2021-10-13,0.942491,0.982449,0.924766,0.978031,0.978031,315825
2021-10-14,0.977995,0.986998,0.930013,0.977639,0.977639,472767
2021-10-15,0.977633,1.000011,0.966653,0.992346,0.992346,8768962
2021-10-16,0.992358,0.995656,0.980255,0.980660,0.980660,9988676
2021-10-17,0.980640,0.998485,0.980640,0.987176,0.987176,3878805
2021-10-18,0.987176,0.997968,0.980941,0.982349,0.982349,5787333
2021-10-19,0.982319,0.995310,0.979604,0.986304,0.986304,6563937
