Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.045297,0.048275,0.032816,0.047693,0.047693,94291
2021-08-23,0.047685,0.048792,0.031374,0.046472,0.046472,72866
2021-08-24,0.046472,0.055419,0.039545,0.051798,0.051798,59977
2021-08-25,0.051789,0.056636,0.046988,0.050616,0.050616,72046
2021-08-26,0.050616,0.051068,0.040287,0.044190,0.044190,89659
2021-08-27,0.044190,0.050637,0.026383,0.045722,0.045722,117371
2021-08-28,0.045848,0.050995,0.027851,0.042176,0.042176,65211
2021-08-29,0.042206,0.049487,0.041097,0.044036,0.044036,76187
2021-08-30,0.044038,0.050783,0.040897,0.045259,0.045259,91612
2021-08-31,0.045251,0.052584,0.024409,0.049434,0.049434,51856
2021-09-01,0.049398,0.055653,0.034780,0.055653,0.055653,90834
2021-09-02,0.055624,0.057986,0.033224,0.052737,0.052737,91776
2021-09-03,0.052713,0.060211,0.035549,0.054596,0.054596,95610
2021-09-04,0.054631,0.056513,0.053629,0.054843,0.054843,114206
2021-09-05,0.054875,0.059753,0.007576,0.056469,0.056469,68752
2021-09-06,0.056443,0.056556,0.035455,0.055700,0.055700,86429
2021-09-07,0.055672,0.056670,0.039704,0.047940,0.047940,106898
2021-09-08,0.047923,0.054838,0.037309,0.052421,0.052421,117124
2021-09-09,0.049375,0.055209,0.037670,0.051321,0.051321,117807
2021-09-10,0.051294,0.052145,0.038819,0.045249,0.045249,101002
2021-09-11,0.045284,0.052200,0.037152,0.050909,0.050909,96889
2021-09-12,0.050937,0.052498,0.045492,0.047699,0.047699,80992
2021-09-13,0.047678,0.050609,0.045036,0.049299,0.049299,90092
2021-09-14,0.049285,0.051512,0.039347,0.047955,0.047955,93799
2021-09-15,0.048010,0.051560,0.040880,0.051110,0.051110,117270
2021-09-16,0.051338,0.055869,0.048859,0.049979,0.049979,131542
2021-09-17,0.050000,0.053124,0.043677,0.046321,0.046321,126515
2021-09-18,0.046365,0.053478,0.042903,0.047720,0.047720,133797
2021-09-19,0.047758,0.052498,0.042548,0.048266,0.048266,84870
2021-09-20,0.048254,0.050985,0.038747,0.045845,0.045845,87153
2021-09-21,0.045779,0.046531,0.009425,0.039201,0.039201,82127
2021-09-22,0.039183,0.045502,0.027283,0.043088,0.043088,109460
2021-09-23,0.043121,0.047628,0.036527,0.044626,0.044626,112822
2021-09-24,0.044605,0.045129,0.039057,0.043688,0.043688,114485
2021-09-25,0.043686,0.044967,0.040623,0.042424,0.042424,187987
2021-09-26,0.042436,0.046818,0.035848,0.044370,0.044370,185884
2021-09-27,0.044422,0.047419,0.037499,0.041665,0.041665,150930
2021-09-28,0.041591,0.044472,0.036663,0.040627,0.040627,140379
2021-09-29,0.040699,0.044743,0.039574,0.040431,0.040431,109045
2021-09-30,0.040477,0.045642,0.038851,0.042032,0.042032,131985
2021-10-01,0.042024,0.049958,0.041286,0.049412,0.049412,104216
2021-10-02,0.049381,0.051258,0.042498,0.048829,0.048829,149353
2021-10-03,0.048807,0.052258,0.044178,0.049201,0.049201,146273
2021-10-04,0.049224,0.050591,0.046820,0.048447,0.048447,141474
2021-10-05,0.048438,0.052274,0.042099,0.049593,0.049593,117910
2021-10-06,0.049595,0.053953,0.042520,0.051741,0.051741,120810
2021-10-07,0.051683,0.054659,0.044430,0.052699,0.052699,95179
2021-10-08,0.052701,0.053894,0.046437,0.051535,0.051535,85505
2021-10-09,0.051560,0.052252,0.044157,0.050065,0.050065,102557
2021-10-10,0.050060,0.053775,0.047468,0.047671,0.047671,91359
2021-10-11,0.047619,0.051613,0.044513,0.046975,0.046975,102722
2021-10-12,0.047009,0.051094,0.045289,0.046467,0.046467,92880
2021-10-13,0.046452,0.047774,0.044363,0.046787,0.046787,71188
2021-10-14,0.046811,0.047908,0.045878,0.046627,0.046627,78509
2021-10-15,0.046606,0.051494,0.039178,0.047212,0.047212,85444
2021-10-16,0.047193,0.048546,0.044874,0.045181,0.045181,91852
2021-10-17,0.045156,0.049976,0.040928,0.046173,0.046173,84302
2021-10-18,0.046158,0.048990,0.040547,0.047574,0.047574,67573
2021-10-19,0.047574,0.049215,0.042037,0.047690,0.047690,94366
2021-10-20,0.047698,0.050949,0.042178,0.048490,0.048490,99935
2021-10-21,0.048549,0.050389,0.042769,0.046260,0.046260,128921
2021-10-22,0.046210,0.062877,0.044292,0.044866,0.044866,73359
2021-10-23,0.044865,0.054479,0.044629,0.054207,0.054207,90879
2021-10-24,0.054232,0.054447,0.048002,0.049469,0.049469,50993
2021-10-25,0.049464,0.052237,0.044489,0.049544,0.049544,112379
2021-10-26,0.049563,0.049598,0.042911,0.048091,0.048091,86525
2021-10-27,0.048086,0.050428,0.010918,0.042061,0.042061,86644
2021-10-28,0.042014,0.047485,0.040692,0.046845,0.046845,87506
2021-10-29,0.046848,0.122333,0.042506,0.054651,0.054651,73038
2021-10-30,0.054656,0.066695,0.048210,0.052415,0.052415,66681
2021-10-31,0.052466,0.053397,0.048427,0.050621,0.050621,133119
2021-11-01,0.050623,0.054361,0.044131,0.053951,0.053951,141464
2021-11-02,0.053946,0.055455,0.051664,0.054725,0.054725,116483
2021-11-03,0.054690,0.055850,0.047283,0.052444,0.052444,84214
2021-11-04,0.052467,0.054326,0.029343,0.052198,0.052198,8307
2021-11-05,0.052179,0.054063,0.040976,0.051305,0.051305,65745
2021-11-06,0.051322,0.052651,0.050083,0.051882,0.051882,95180
2021-11-07,0.051878,0.053933,0.048550,0.051128,0.051128,72515
2021-11-08,0.051137,0.056036,0.043876,0.054305,0.054305,145299
2021-11-09,0.054288,0.063228,0.053665,0.054308,0.054308,62480
2021-11-10,0.054285,0.056679,0.049205,0.053982,0.053982,86048
2021-11-11,0.054003,0.054076,0.046493,0.051729,0.051729,104484
2021-11-12,0.051824,0.053738,0.047602,0.049900,0.049900,105005
2021-11-13,0.049857,0.055014,0.047076,0.053787,0.053787,180559
2021-11-14,0.053788,0.054450,0.046529,0.052014,0.052014,121365
2021-11-15,0.052017,0.054238,0.048068,0.050664,0.050664,140773
2021-11-16,0.050607,0.050738,0.044553,0.045578,0.045578,105270
2021-11-17,0.045519,0.048440,0.043455,0.046081,0.046081,113474
2021-11-18,0.046095,0.047658,0.041678,0.044046,0.044046,131959
2021-11-19,0.044075,0.046224,0.038425,0.045328,0.045328,187168
2021-11-20,0.045292,0.048588,0.042831,0.046401,0.046401,201552
2021-11-21,0.046384,0.047510,0.041154,0.041154,0.041154,185428
2021-11-22,0.041244,0.044770,0.038351,0.041509,0.041509,185604
2021-11-23,0.041519,0.071619,0.035328,0.071292,0.071292,283814
2021-11-24,0.071284,0.071704,0.051930,0.070402,0.070402,279233
2021-11-25,0.056519,0.059037,0.052201,0.053887,0.053887,293051
2021-11-26,0.056125,0.058032,0.052074,0.053544,0.053544,249040
2021-11-27,0.053520,0.057642,0.052768,0.053868,0.053868,247634
2021-11-28,0.053888,0.056270,0.045575,0.054511,0.054511,165968
2021-11-29,0.054528,0.057181,0.049032,0.057142,0.057142,186586
2021-11-30,0.057185,0.059141,0.048602,0.057277,0.057277,289984
2021-12-01,0.057206,0.060568,0.051317,0.059277,0.059277,220243
2021-12-02,0.059288,0.059589,0.051759,0.058126,0.058126,250941
2021-12-03,0.058169,0.058646,0.048258,0.050265,0.050265,60812
2021-12-04,0.050226,0.056039,0.034152,0.053824,0.053824,136697
2021-12-05,0.053835,0.056435,0.047170,0.053019,0.053019,145632
2021-12-06,0.053043,0.056164,0.044880,0.055547,0.055547,182000
2021-12-07,0.055548,0.057155,0.050238,0.055088,0.055088,149688
2021-12-08,0.055048,0.057234,0.053612,0.057098,0.057098,170968
2021-12-09,0.057075,0.057569,0.051857,0.052387,0.052387,284811
2021-12-10,0.052360,0.054130,0.050512,0.051530,0.051530,253550
2021-12-11,0.051476,0.053599,0.049760,0.053509,0.053509,289159
2021-12-12,0.053458,0.056402,0.051752,0.056141,0.056141,219067
2021-12-13,0.056155,0.056168,0.047585,0.048664,0.048664,265204
2021-12-14,0.048697,0.051852,0.045503,0.051832,0.051832,261168
2021-12-15,0.051798,0.053171,0.043900,0.051291,0.051291,184384
2021-12-16,0.051310,0.053387,0.048648,0.049635,0.049635,231515
2021-12-17,0.049608,0.051770,0.044762,0.049113,0.049113,278566
2021-12-18,0.049120,0.051670,0.047536,0.049311,0.049311,283247
2021-12-19,0.049311,0.051812,0.048526,0.049672,0.049672,276059
2021-12-20,0.049757,0.050451,0.047568,0.049667,0.049667,257355
2021-12-21,0.049711,0.051446,0.048891,0.050338,0.050338,280956
2021-12-22,0.050352,0.051975,0.049588,0.050736,0.050736,309159
2021-12-23,0.050750,0.051482,0.048691,0.050964,0.050964,328373
2021-12-24,0.050989,0.052722,0.049376,0.051647,0.051647,336950
2021-12-25,0.051631,0.052082,0.049082,0.050702,0.050702,308333
2021-12-26,0.050639,0.051421,0.048740,0.050874,0.050874,320711
2021-12-27,0.050848,0.051112,0.048080,0.049741,0.049741,332575
2021-12-28,0.049680,0.049819,0.046295,0.046618,0.046618,297418
2021-12-29,0.046581,0.047443,0.042352,0.042657,0.042657,93426
2021-12-30,0.042496,0.050687,0.042160,0.048662,0.048662,278191
2021-12-31,0.048650,0.051470,0.044567,0.047595,0.047595,265364
2022-01-01,0.047599,0.050580,0.026367,0.048999,0.048999,285989
2022-01-02,0.048994,0.050839,0.032153,0.049246,0.049246,298539
2022-01-03,0.049245,0.050582,0.033052,0.048122,0.048122,276137
2022-01-04,0.048122,0.051826,0.033347,0.046672,0.046672,208244
2022-01-05,0.046674,0.052678,0.031823,0.043920,0.043920,209106
2022-01-06,0.043916,0.046371,0.027049,0.043456,0.043456,199848
2022-01-07,0.043450,0.043476,0.008832,0.033818,0.033818,187834
