Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.870504,0.925153,0.860088,0.904590,0.904590,7148404
2021-08-23,0.907135,0.948212,0.903052,0.934243,0.934243,8025784
2021-08-24,0.934762,0.937520,0.821527,0.856139,0.856139,6229451
2021-08-25,0.856011,0.914762,0.824230,0.901805,0.901805,6935292
2021-08-26,0.902768,0.911785,0.807645,0.809839,0.809839,4750147
2021-08-27,0.810056,0.862330,0.782995,0.861303,0.861303,5189676
2021-08-28,0.861450,0.868558,0.823441,0.829505,0.829505,3941007
2021-08-29,0.830165,0.843338,0.804584,0.822845,0.822845,4031703
2021-08-30,0.823942,0.842300,0.786215,0.806233,0.806233,3964152
2021-08-31,0.810180,1.058149,0.794122,0.980330,0.980330,40023936
2021-09-01,0.982982,1.134664,0.935023,1.105406,1.105406,40349539
2021-09-02,1.101884,1.112595,1.014739,1.044144,1.044144,16475343
2021-09-03,1.042818,1.221174,1.008120,1.159582,1.159582,24839310
2021-09-04,1.158578,1.188034,1.103515,1.105875,1.105875,11381780
2021-09-05,1.107365,1.198517,1.103273,1.144952,1.144952,13760880
2021-09-06,1.144397,1.326194,1.144397,1.238636,1.238636,27763367
2021-09-07,1.239779,1.268550,0.860754,0.999261,0.999261,21142788
2021-09-08,0.997698,1.023540,0.868335,0.958192,0.958192,11154137
2021-09-09,0.950177,1.026612,0.948374,0.962137,0.962137,11213538
2021-09-10,0.962424,1.034737,0.869372,0.895628,0.895628,9768231
2021-09-11,0.895399,0.972285,0.891362,0.929900,0.929900,6757998
2021-09-12,0.929841,0.992334,0.906433,0.957735,0.957735,6013020
2021-09-13,0.957293,0.964862,0.864987,0.913938,0.913938,7107108
2021-09-14,0.913834,0.940034,0.898874,0.940034,0.940034,5392597
2021-09-15,0.934320,0.965547,0.920283,0.950130,0.950130,6909768
2021-09-16,0.950661,0.971437,0.896230,0.922157,0.922157,7321203
2021-09-17,0.922551,0.950814,0.893829,0.917026,0.917026,7075229
2021-09-18,0.916769,0.996065,0.908925,0.943549,0.943549,7233531
2021-09-19,0.941954,0.941954,0.884089,0.893645,0.893645,4442832
2021-09-20,0.893543,0.894469,0.762720,0.776209,0.776209,8146026
2021-09-21,0.780922,0.793855,0.697010,0.716964,0.716964,6163974
2021-09-22,0.717490,0.821298,0.708852,0.820558,0.820558,4575411
2021-09-23,0.819658,0.836665,0.792015,0.829148,0.829148,4430309
2021-09-24,0.829019,0.891951,0.727875,0.847931,0.847931,13654224
2021-09-25,0.849301,0.862899,0.792912,0.799539,0.799539,7162801
2021-09-26,0.798558,0.804181,0.744570,0.781700,0.781700,4873194
2021-09-27,0.781866,0.816369,0.753417,0.754196,0.754196,3772561
2021-09-28,0.753424,0.771385,0.713567,0.715112,0.715112,4052435
2021-09-29,0.715562,0.745171,0.712844,0.733941,0.733941,3752254
2021-09-30,0.733638,0.762088,0.726678,0.756859,0.756859,3788800
2021-10-01,0.757521,0.880014,0.752538,0.872771,0.872771,6793108
2021-10-02,0.872634,0.922015,0.841702,0.889582,0.889582,6076484
2021-10-03,0.889747,0.946210,0.874187,0.925320,0.925320,5840465
2021-10-04,0.925762,0.927351,0.861677,0.914047,0.914047,5346979
2021-10-05,0.914603,0.992058,0.903490,0.986173,0.986173,8174205
2021-10-06,0.986835,0.991182,0.899200,0.950473,0.950473,7923095
2021-10-07,0.950072,0.986931,0.933151,0.964387,0.964387,4869818
2021-10-08,0.964705,1.018072,0.950730,0.960745,0.960745,6996491
2021-10-09,0.960216,0.987741,0.952420,0.967930,0.967930,4538239
2021-10-10,0.966262,0.976885,0.881200,0.882577,0.882577,5791994
2021-10-11,0.883719,0.991497,0.874973,0.920633,0.920633,11121049
